"word";"in documents";"total"
"AG";2;2
"Aboa";1;1
"Aleksanterinkatu";2;2
"Alexander";1;1
"Alps";1;1
"America";1;1
"Apa";2;2
"Arctic";3;3
"Ars";1;1
"Audio";1;1
"Aug";1;1
"BEAT";2;2
"Bahnhofplatz";1;1
"Bavaria";1;1
"Belgium";1;1
"Black";1;1
"Book";4;4
"Books";2;2
"Brittany";1;1
"Budget";1;1
"Buses";1;1
"Caribbean";1;1
"Cathedral";1;1
"Central";1;1
"CheckConnection";2;2
"Christmas";1;1
"City";1;1
"Coast";1;1
"Conditions";1;1
"Copyright";1;1
"Corsica";1;1
"Croatia";2;2
"Côte";1;1
"Dalmatian";1;1
"Dec";2;2
"Dictionary";1;1
"Digital";2;2
"Duchy";1;1
"England";1;1
"Esplanadi";2;2
"Europe";2;2
"Explore";2;2
"Father";1;1
"Features";2;2
"Finland";151;163
"Finland’s";4;4
"First-Time";1;1
"Forest";1;1
"France";3;3
"Franche-Comté";1;1
"Fri";3;3
"GALX";2;2
"GAPS";2;2
"Galicia";1;1
"Germany";2;2
"Gomera";1;1
"GoogleAccounts";2;2
"Grand";1;1
"Great";1;1
"Group";1;1
"Guide";23;23
"Guides";25;28
"HSID";2;2
"Helsinki";3;3
"Helsinki’s";1;1
"Hietasaari";1;1
"Hotel";1;1
"Iceland";1;1
"In-depth";1;1
"Inari";3;3
"Inarijärvi";1;1
"Ireland";1;1
"Island";1;1
"Italy";1;1
"Jan";1;2
"June–Aug";6;6
"June–Sept";1;1
"Kent";1;1
"Kingdom";1;1
"Kirkkokatu";2;2
"Koskikatu";1;1
"LSID";2;2
"LSOSID";2;2
"La";1;1
"Lake";2;3
"Lapland";4;4
"Lights";1;1
"Locale_session";2;2
"London";1;1
"Lumberjack";1;1
"Lutheran";1;1
"Luxembourg";1;1
"Mannerheimkatu";1;1
"Marketing";1;1
"May";1;1
"May–Aug";1;1
"May–Sept";1;1
"Mill";1;1
"Mon–";3;3
"Mon–Sat";3;3
"Munich";1;1
"Museum";3;3
"NID";2;2
"Naantali";1;1
"Normandy";1;1
"Northern";1;1
"Northwest";1;1
"Norway";1;1
"Nova";1;1
"Oct–April";2;2
"Oulu";3;3
"PREF";2;2
"Phrasebook";1;1
"Pocket";1;1
"Podcast";1;1
"Pohjoisranta";1;1
"Policy";1;1
"Porvoo";2;2
"Prepare";1;1
"Privacy";1;1
"Provence";1;1
"Puglia";1;1
"Punkaharju";1;1
"Pyrenees";1;1
"RMME";2;2
"Region";2;3
"Rough";33;33
"Rovaniemi";3;3
"Russian";1;1
"S";2;2
"SAPISID";2;2
"SE1";1;1
"SID";2;2
"SSID";2;2
"Sat";4;4
"Savonlinna";1;1
"Senate";2;2
"Sept";2;2
"Sept–April";1;1
"Sept–May";3;3
"Sept–Nov";2;2
"Show";1;1
"Siebnen";1;1
"Sign";3;3
"Snapshot";9;9
"Spain";2;2
"Square";2;2
"Statistic";1;1
"Street";1;1
"Subterranean";1;1
"Sun";6;7
"Suomenlinna";1;1
"Surrey";1;1
"Sussex";1;1
"Switzerland";1;1
"Sámi";4;5
"TempCookie703";2;2
"Tenerife";1;1
"Terms";1;1
"That’s";1;1
"There’s";1;1
"Thurs";1;1
"Travel";9;9
"Trip";1;1
"Tues";1;1
"Tues–Sat";1;1
"Tues–Sun";3;3
"Turkey";2;2
"Turku";1;1
"Turku’s";1;1
"Turquoise";1;1
"United";1;1
"Vallisaari";1;1
"Vetus";1;1
"Way";1;1
"Wed–Sun";1;1
"West";2;2
"Woodsmoke";1;1
"AG";2;2
"Africa";2;2
"Alba";1;1
"Alexandru";1;1
"America";1;1
"Apa";2;2
"April";1;1
"Apuseni";3;4
"Aref";1;1
"Arefu";2;2
"Arge?";1;1
"Arie?";2;2
"Art";1;1
"Art?";2;2
"BEAT";2;2
"Bahnhofplatz";1;1
"Baroque";1;1
"Bessarabia";1;1
"Bihor";1;1
"Black";1;1
"Book";2;2
"Books";1;1
"Bound";1;1
"Brad";1;1
"Bran";1;1
"Brasov";1;1
"Brassó";1;1
"Bra?ov";1;1
"Brief";1;1
"Br?tianu";1;1
"Bucharest";5;5
"Bucharest’s";1;1
"Bucovina";1;1
"Budget";1;1
"Bulevardul";3;3
"Byzantine";1;1
"Calea";1;1
"Canal";1;1
"Cantemir’s";1;1
"Caribbean";1;1
"Carol";1;2
"Carpathian";1;1
"Casa";1;3
"Castle";2;3
"Cathedral";1;1
"Ceau?escu";1;1
"Ceau?escus";1;1
"Ceau?escu’s";3;3
"Central";2;2
"Centre";1;1
"Centru";1;1
"Cetatea";2;2
"CheckConnection";2;2
"China";1;1
"Christian";1;1
"Church";2;2
"Civic";1;1
"Cluj";6;6
"Cluj-Napoca";1;1
"Coast";1;1
"Comaneci";1;1
"Communist";1;1
"Conditions";1;1
"Constantinople";1;1
"Constan?a";2;2
"Contemporan?";2;2
"Copyright";1;1
"Craiului";1;1
"Cri?ul";1;1
"Curtea";1;1
"Cuza";3;3
"Câmpeni";2;2
"DANUBEPARKS";1;1
"DN74";1;1
"DN75";1;1
"Dacian";1;1
"Danube";2;2
"Danube–Black";1;1
"December";1;1
"Defence";1;1
"Delta";9;9
"Deva";1;1
"Digital";2;2
"Dobrogea";1;1
"Dracula";1;1
"Eastern";1;1
"Eminescu";1;1
"Empire";1;1
"Enescu";1;1
"Europe";2;2
"Explore";1;1
"Fair";1;1
"Features";1;1
"Fener";1;1
"Festival";1;1
"France";1;1
"F?g?ra?";1;1
"GALX";2;2
"GAPS";2;2
"German";2;2
"Germans";2;2
"Germany";1;1
"Girl";1;1
"GoogleAccounts";2;2
"Greater";1;1
"Green";1;1
"Group";1;1
"Guard";1;1
"Guide";10;10
"Guides";15;18
"Gypsies";1;1
"G?ina";1;1
"HSID";2;2
"Habsburgs";1;1
"Hall";1;1
"Heritage";1;1
"Hermannstadt";1;1
"Hierarchs";1;1
"Hiker";1;1
"Hill";1;1
"House";1;1
"Hungarian";3;3
"Hungarians";2;2
"I";1;1
"II";1;1
"Iasi";1;1
"Ia?i";9;9
"Ia?i’s";2;2
"Impaler’s";2;2
"In-depth";1;1
"Ioan";1;1
"Iron";1;1
"Istanbul";1;1
"It’s";1;1
"Jassy";1;1
"Jews";2;2
"Johan’s";1;1
"June";1;1
"Junimea";2;2
"Kalotaszeg";1;1
"Kingdom";2;2
"Klausenburg";1;1
"Kolozsvár";2;2
"Kolozsvár’s";1;1
"Kronstadt";1;1
"LSID";2;2
"LSOSID";2;2
"Lacul";2;2
"League";1;1
"Leipzig";1;1
"Lipscani";2;2
"Locale_session";2;2
"Located";1;1
"London";1;1
"Lupu";1;1
"Madman’s";1;1
"Magyars";2;2
"Mare";1;1
"Marketing";1;1
"May";1;1
"Mayor”";1;1
"Measurement";1;1
"Mediterranean";1;1
"Michael’s";1;1
"Milk";1;1
"Mill";1;1
