"word";"in documents";"total";"att_1"
"aboa";1;1;
"access";10;13;
"access_secur";10;10;
"accessible_";1;1;
"accessible_road";1;1;
"accessible_train";1;1;
"ad";10;10;
"adjoin";1;1;
"adjoining_outdoor";1;1;
"ads_relev";10;10;
"adventur";10;12;
"adventure_compani";1;1;
"adventure_level";10;10;
"adventure_outfit";1;1;
"advertis";10;10;
"advertisers_gad";10;10;
"advic";10;10;
"advice_rough";10;10;
"ag";10;20;
"ag_bahnhofplatz";10;10;
"ag_right";10;10;
"agre";10;30;
"agreed_privaci";10;10;
"agreeing_giv";10;10;
"aleksanterinkatu";2;2;
"aleksanterinkatu_mon";1;1;
"aleksanterinkatu_st";1;1;
"alexander_i";1;1;
"algarv";1;1;
"aliv";1;1;
"alive_";1;1;
"america";10;60;
"america_caribbean";10;60;
"anachronist";1;1;
"anachronistic_bulki";1;1;
"ancient_sámi";1;1;
"anonymously_market";10;10;
"anthem_old";1;1;
"apa";10;30;
"apa_digit";10;20;
"apa_group";10;10;
"april";2;3;
"april_tu";2;2;
"april_w";1;1;
"ar";1;1;
"archipelago_li";1;1;
"architectur";1;1;
"architecture_gatewai";1;1;
"arctic";2;3;
"arctic_condit";1;1;
"arctic_hug";1;1;
"arctic_sens";1;1;
"ardenn";1;1;
"area";10;12;
"area_bai";1;1;
"areas_websit";10;10;
"arranging_logist";10;10;
"ars_nova";1;1;
"arson";1;1;
"arson_attack";1;1;
"articl";10;10;
"articles_galleri";10;10;
"atmospher";2;2;
"atmospheric_entr";1;1;
"atmospheric_slend";1;1;
"attack";1;1;
"attack_reopen";1;1;
"attraction_daili";1;1;
"attractions_town";1;1;
"audio";1;1;
"audio_phrasebook";1;1;
"aug";7;9;
"aug_dai";1;1;
"aug_daili";4;5;
"aug_mon";1;1;
"aug_pm";1;1;
"august_sauna";1;1;
"auth";10;40;
"awaits_soar";1;1;
"ba_unit";10;10;
"bahnhofplatz";10;10;
"bahnhofplatz_siebnen";10;10;
"bai";1;1;
"barcelona";1;1;
"base";2;2;
"base_explor";1;1;
"based_fun";1;1;
"basic_funct";10;10;
"bays_inlet";1;1;
"beach";1;1;
"beach_pick";1;1;
"bear";10;10;
"bears_finland";10;10;
"beat";10;20;
"beat_checkconnect";10;20;
"beaten_track";10;10;
"beauti";10;10;
"beautiful_countri";10;10;
"belfast";1;1;
"berlin";1;1;
"big_attract";1;1;
"biggest_preserv";1;1;
"bland";1;1;
"bland_shop";1;1;
"block";2;2;
"blocks_modern";1;1;
"blocks_north";1;1;
"boast";1;1;
"bold_neoclass";1;1;
"book";10;61;
"book_charact";1;1;
"book_rough";10;10;
"book_tailor";10;10;
"book_trip";10;20;
"booked_loc";10;10;
"books_featur";10;10;
"boulevard";1;1;
"boulevard_mishmash";1;1;
"branch";1;1;
"branches_lapland";1;1;
"bridg";1;1;
"bridge_anci";1;1;
"brightli";1;1;
"brightly_hu";1;1;
"bring_forest";1;1;
"brittani";1;1;
"brittany_normandi";1;1;
"browser";10;20;
"browser_improv";10;10;
"browser_pleas";10;10;
"brush";10;10;
"brushing_should";10;10;
"bu";2;2;
"budget";10;11;
"budget_czech";1;1;
"budget_rough";10;10;"0.009265343910689132"
"buffet";1;1;
"buffet_august";1;1;
"buildings_g";1;1;
"built_hil";1;1;
"bulki";1;1;
"bulky_block";1;1;
"bus_train";1;1;
"buse";1;1;
"buses_turku";1;1;
"bustl";1;1;
"bustling_superb";1;1;
"c";10;20;
"c_user";10;20;
"cabin";1;1;
"cabin_meet";1;1;
"café";1;1;"0.06682691780147322"
"cafés_puls";1;1;
"came_porvoo";1;1;
"canal";1;1;
"canal_north";1;1;
"capit";1;1;
"capital_lapland";1;1;
"caribbean";10;60;
"caribbean_centr";10;50;
"caribbean_esplanadi";1;1;
"caribbean_find";8;8;"0.021210449751781844"
"caribbean_lak";1;1;
"castl";1;1;
"castle_fam";1;1;
"cathedr";2;2;
"cathedral_jun";1;1;
"cathedral_surviv";1;1;
"ceil";1;1;
"ceilings_mesmer";1;1;
"centr";2;2;
"central_america";10;60;
"centre_book";1;1;
"centre_stretch";1;1;
"centuri";1;1;"0.02878078694539205"
"century_sept";1;1;
"champagn";1;1;
"champagne_ardenn";1;1;
"charact";1;1;
"charm";2;2;
"charming_coupl";1;1;
"charming_plac";1;1;
"check";10;21;
"check_pretti";1;1;
"checkconnect";10;20;
"checkconnection_tempcooki";10;20;
"checked_secur";10;20;
"children";1;1;
"children_";1;1;
"christma";1;1;
"christmas_year";1;1;
"chunk";1;1;
"circumpolar";1;1;
"circumpolar_koskikatu";1;1;
"citi";2;3;
"city_";1;1;
"city_enjoi";1;1;
"city_museum";1;1;
"coast";3;3;
"coast_access";1;1;
"coast_finland";1;1;
"coast_run";1;1;
"cobbl";1;1;
"cobbled_street";1;1;
"collecting_report";10;10;
"collection_good";1;1;
"collection_restaur";1;1;
"comes_disappoint";1;1;
"comfort";10;10;
"comfort_lov";10;10;
"commerci";1;1;
"commercialized_log";1;1;
"compani";1;1;
"company_organ";1;1;
"competit";10;10;
"competitions_ebook";10;10;
"comprehens";1;1;
"comprehensive_guid";1;1;
"condit";10;11;
"conditions_mandatori";10;10;
"conditions_tepe";1;1;
"conifers_link";1;1;
"connected_hourli";1;1;
"connecting_surround";1;1;
"consent";10;10;
"consent_stor";10;10;
"cooki";10;40;
"cookies_help";10;20;
"cookies_statist";10;10;
"cookies_track";10;10;
"copper";1;1;
"copper_dom";1;1;
"copyright";10;10;
"copyright_apa";10;10;
"corsica";1;1;
"corsica_rough";1;1;
"countri";10;10;
"countries_world";10;10;
"countrysid";1;1;
"countryside_se";1;1;
"coupl";1;1;
"couple_block";1;1;
"cover";1;1;
"covered_mass";1;1;
"criss";1;1;
"criss_cross";1;1;
"cross";1;1;
"cross_br";1;1;
"crown";1;1;
"crowned_fifteenth";1;1;
"cry";1;1;
"cry_surround";1;1;
"cultur";2;2;
"culture_al";1;1;
"culture_log";1;1;
"cycl";1;1;
"cycling_trail";1;1;
"czech";1;1;
"czech_republ";1;1;
"dai";3;3;
"daili";6;10;
"daily_hourli";1;1;
"daily_jan";1;1;
"daily_jun";1;1;
"daily_midnight";1;2;
"daily_pm";3;5;
"data";10;10;
"data_process";10;10;
"datr";10;20;
"datr_fr";10;20;
"day_bu";1;1;
"day_gear";1;1;
"day_ticket";1;1;
"dec";1;2;
"dec_jan";1;2;
"decor";1;2;
"decoration_await";1;1;
"decorative_paint";1;1;
"dens";2;2;
"dense_pin";1;1;
"depart";1;1;
"depart_bridg";1;1;
"depict_drast";1;1;
"depth";10;10;
"deselect";10;10;
"deselected_necessari";10;10;
"devot";1;1;
"devoted_fam";1;1;
"dictionari";1;1;
"dictionary_italian";1;1;
"digit";10;20;
"digital_ag";10;20;
"dinner";1;1;
"dinner_buffet";1;1;
"disappoint";1;1;
"disappointment_impress";1;1;
"discount";10;10;
"discounts_competit";10;10;
"displai";10;10;
"display_ad";10;10;
"district";1;1;
"district_finland";1;1;
"dome";1;1;
"domed_stucco";1;1;
"domin";1;1;
"dordogn";1;1;
"dordogne_lot";1;1;
"drastically_weath";1;1;
"draw";1;1;
"draw_town";1;1;
"dream";10;10;
"dream_travel";10;10;
"dublin";1;1;
"duchy_cathedr";1;1;
"easili";1;1;
"easily_access";1;1;
"eastern_end";1;1;
"eastern_part";1;1;
"ebook_sign";10;10;
"eleg";1;1;
"enabl";10;10;
"end";2;2;
"end_suav";1;1;
"end_villag";1;1;
"engag";10;10;
"engaging_individu";10;10;
"england";1;1;
"england_northwest";1;1;
"enjoys_laidback";1;1;
"entranc";1;1;
"enviabl";1;1;
"enviable_lakeshor";1;1;
"esplanadi_sen";1;2;
"europ";10;11;
"europe_budget";10;11;
"evenings_night";1;1;
"exampl";1;1;
"examples_finnish";1;1;
"excel";1;1;
"excurs";2;2;
"excursions_lapland";1;1;
"excursions_surround";1;1;
"exhaust";10;10;
"exhausting_plac";10;10;
"exhibit";3;4;
"exhibition_lif";1;1;
"exhibitions_west";1;2;
"exhibits_br";1;1;
"experi";10;11;
"experienc";10;10;
"experience_centr";10;10;
"experience_l";1;1;
"experienced_travel";10;10;
"expert";10;30;
"expert_advic";10;10;
"experts_help";10;10;
"experts_rough";10;10;
"explor";10;13;
"exploration_truli";1;1;
"explore_book";9;10;
"explore_find";1;1;
"explore_part";1;1;
"exquisit";1;1;
"exquisite_form";1;1;
"ext";10;20;
"ext_ref";10;20;
"exterior";1;1;
"exterior_spartan";1;1;
"extern";10;20;
"external_refer";10;20;
"fabul";1;1;
"fabulous_network";1;1;
"fairli";1;1;
"fame";1;1;
"famed_finnish";1;1;
"famou";2;2;
"famous_opera";1;1;
"fascinating_insight";1;1;
"father";1;1;
"father_christma";1;1;
"fb";10;40;
"fb_gate";10;20;
"fb_ref";10;20;
"featur";10;20;
"features_dens";1;1;
"features_half";1;1;
"features_km";2;2;
"features_latest";10;10;
"features_third";1;1;
"features_tout";1;1;
"features_tu";1;1;
"features_wid";1;1;
"ferri";1;1;
"ferry_aug";1;1;
"fill";10;10;
"filled_expert";10;10;
"find_book";1;1;
"find_explor";9;9;
"find_tradit";1;1;
"fine";1;1;
