"word";"in documents";"total";"att_1"
"abandoned_settl";1;1;
"abbei";1;1;
"abbeys_church";1;1;
"absenc";1;1;
"access";10;12;
"access_allow";1;1;
"access_secur";10;10;
"accommod";1;1;
"accommodation_look";1;1;
"accompani";2;2;
"accompanied_region";1;1;
"accompanying_tradit";1;1;
"achievements_french";1;1;
"act";1;1;
"act_supposedli";1;1;
"activ";1;1;
"actively_support";1;1;
"actually_cut";1;1;
"ad";10;10;
"address";2;2;
"address_ingrain";1;1;
"address_meanwhil";1;1;
"administr";1;3;
"administrative_ent";1;1;
"administrative_leg";1;1;
"administrators_engin";1;1;
"adorn";1;1;
"adorned_c";1;1;
"ads_relev";10;10;
"advanc";1;1;
"advance_warn";1;1;
"advantag";1;1;
"advantage_sculptor";1;1;
"adventur";10;10;
"adventure_level";10;10;
"advertis";10;10;
"advertisers_gad";10;10;
"advic";10;10;
"advice_rough";10;10;
"afar";1;1;
"afar_eiffel";1;1;
"affair";2;2;
"affair_turret";1;1;
"affairs_kept";1;1;
"affectations_bank";1;1;
"affili";1;1;
"affiliate_link";1;1;
"affin";1;1;
"affinity_itali";1;1;
"afield";1;1;
"afield_sicili";1;1;
"ag";10;21;
"ag_bahnhofplatz";10;10;
"ag_right";10;10;
"ages_breton";1;1;
"agre";10;30;
"agreed_privaci";10;10;
"agreeing_giv";10;10;
"agricultur";1;1;
"agricultural_fertil";1;1;
"aix";1;1;
"aix_candi";1;1;
"alcohol";1;1;
"alcoholic_sorbet";1;1;
"alignments_carnac";1;1;
"alike_attract";1;1;
"aliv";1;2;
"alive_econom";1;1;
"alive_tourist";1;1;
"alli";2;2;
"allied_armi";1;1;
"allies_l";1;1;
"allow_tim";1;1;
"alp";2;3;
"alps_franch";1;1;
"alps_invari";1;1;
"alsac";3;8;
"alsace_";1;1;
"alsace_especi";1;1;
"alsace_histor";1;1;
"alsatian_cook";1;1;
"alt";1;1;
"alt_th";1;1;
"amaz";2;2;
"amazing_art";1;1;
"amazing_beach";1;1;
"ambiti";1;1;
"ambitious_structur";1;1;
"america";10;60;
"america_caribbean";10;60;
"amount";1;1;
"amounted_îl";1;1;
"amplifi";1;1;
"amplify_majesti";1;1;
"anchor";1;1;
"anchor_attract";1;1;
"anchovi";1;1;
"anchovies_sea";1;1;
"ancient_greek";1;1;
"ang";1;1;
"anges_food";1;1;
"announc";1;2;
"announced_definit";1;1;
"announcement_cam";1;1;
"anonymously_market";10;10;
"apa";10;30;
"apa_digit";10;20;
"apa_group";10;10;
"apart_son";1;1;
"aperitif";1;1;
"aperitif_pist";1;1;
"appeal";1;1;
"appeal_greek";1;1;
"appealingli";1;1;
"appealingly_ch";1;1;
"appreci";1;1;
"appreciate_stun";1;1;
"appropri";1;1;
"appropriately_c";1;1;
"approxim";1;1;
"approximately_fat";1;1;
"apricot";1;1;
"apricots_fig";1;1;
"apt_melon";1;1;
"arc";1;2;
"arc_d";1;1;
"arc_du";1;1;
"arch";1;1;
"arch_diplomat";1;1;
"archeolog";1;1;
"archeologically_brittani";1;1;
"architectur";3;6;
"architectural_mould";1;1;
"architectural_spirit";1;1;
"architectural_treasur";1;1;
"architecture_cuisin";1;1;
"architecture_look";1;1;
"architecture_mak";1;1;
"ardenn";2;2;
"area";10;15;
"area_";1;1;
"area_c";1;1;
"area_french";1;1;
"areas_famili";1;1;
"areas_websit";10;10;
"arid";1;1;
"arid_soil";1;1;
"aristocrat";2;2;
"aristocratic_mans";1;1;
"aristocrats_began";1;1;
"arm";1;2;
"armed_conflict";1;1;
"armed_w";1;1;
"armi";2;5;
"armies_met";1;1;
"army_attila";1;1;
"army_defend";1;1;
"army_march";1;1;
"army_suff";1;1;
"aromat";1;1;
"arranging_logist";10;10;
"arriv";1;1;
"arrived_third";1;1;
"arrog";1;1;
"arrogant_monu";1;1;
"art";2;8;
"art_centr";1;1;
"art_found";1;1;
"art_galleri";1;1;
"art_museum";1;1;
"art_museé";1;1;
"art_nouveau";1;1;
"art_premium";1;1;
"art_world";1;1;
"arthurian";1;1;
"arthurian_legend";1;1;
"articl";10;10;
"articles_galleri";10;10;
"artist";3;6;
"artistic_ident";1;1;
