"word";"in documents";"total";"att_1"
"accent";1;1;
"accent_b";1;1;
"access";10;10;
"access_secur";10;10;
"act";1;1;
"activ";1;1;
"activities_particularli";1;1;
"ad";10;14;
"ad_black";1;1;
"added_lustr";1;1;
"added_unesco";1;1;
"adenau";1;1;
"ads_relev";10;10;
"adventur";10;12;
"adventure_level";10;10;
"adventures_hors";1;1;
"adventurous_urbanit";1;1;
"advertis";10;10;
"advertisers_gad";10;10;
"advic";10;10;
"advice_rough";10;10;
"affection_frankfurt";1;1;
"affili";1;1;
"affiliated_europabu";1;1;
"affirm";1;1;
"affirming_c";1;1;
"afresh_nearbi";1;1;
"ag";10;24;
"ag_bahnhofplatz";10;10;
"ag_right";10;10;
"age_murd";1;1;
"aged_rack";1;1;
"ages_fost";1;1;
"ages_l";1;1;
"agre";10;30;
"agreed_privaci";10;10;
"agreeing_giv";10;10;
"agricultur";2;2;
"agricultural_countri";1;1;
"agriculture_premi";1;1;
"agrippina";1;1;
"agrippina_nero";1;1;
"air";1;1;
"air_confid";1;1;
"airport";1;1;
"airport_link";1;1;
"alaska";1;1;
"alaska_statist";1;1;
"alfresco";1;1;
"alfresco_imbib";1;1;
"alli";1;1;
"allies_world";1;1;
"alp";3;3;
"alps_landscap";1;1;
"alps_rear";1;1;
"alps_rul";1;1;
"alster";1;1;
"alt";1;1;
"alt_th";1;1;
"altern";1;1;
"alternative_spa";1;1;
"altstadt";1;1;
"altstadt_rebuilt";1;1;
"ambit";1;2;
"ambitions_philosophi";1;1;
"ambitions_spark";1;1;
"america";10;60;
"america_caribbean";10;60;
"amsterdam";2;2;
"amsterdam_san";1;1;
"amus";1;1;
"amusement_park";1;1;
"anonymously_market";10;10;
"apa";10;30;
"apa_digit";10;20;
"apa_group";10;10;
"appar";1;1;
"apparent_museum";1;1;
"appeal";1;1;
"appeal_europ";1;1;
"approach";1;1;
"april";1;1;
"april_octob";1;1;
"archbishop";1;1;
"archbishops_benefit";1;1;
"archeolog";1;1;
"archeological_treasur";1;1;
"archetyp";1;1;
"archetypal_mediev";1;1;
"architect";1;1;
"architect_leo";1;1;
"architectur";2;3;
"architectural_inherit";1;1;
"architectural_styl";1;1;
"architecture_c";1;1;
"area";10;12;
"area_";1;1;
"area_urban";1;1;
"areas_websit";10;10;
"armi";1;1;
"army_fact";1;1;
"arranging_logist";10;10;
"art";4;4;
"art_collect";1;1;
"art_museum";1;1;
"art_world";1;1;
"articl";10;10;
"articles_galleri";10;10;
"artist";3;3;
"artists_";1;1;
"artists_flourish";1;1;
"artists_musician";1;1;
"arts_theatr";1;1;
"asserts_district";1;1;
"assum";1;1;
"assumed_berlin";1;1;
"atop_c";1;1;
"attracted_hippi";1;1;
"attractions_park";1;1;
"attractions_readili";1;1;
"attractions_residenz";1;1;
"attractions_stuttgart";1;1;
"audio";3;3;
"audio_phrasebook";3;3;
"augsburg";1;1;
"austria";1;1;
