"word";"in documents";"total";"att_1"
"abandoned_nationalist";1;1;
"abbey_fin";1;1;
"abbey_flaunt";1;1;
"abbey_tak";1;1;
"abbey_theatr";1;2;
"abbeys_period";1;1;
"abhor";1;1;
"abhorred_religi";1;1;
"abil";1;1;
"ability_cop";1;1;
"abl";2;2;
"able_se";1;1;
"abolit";1;1;
"abolition_priv";1;1;
"abort";1;1;
"abortive_invas";1;1;
"absente";1;1;
"absentee_landlord";1;1;
"absolut";1;1;
"absolutgaytheatr";1;1;
"absorbing_superb";1;1;
"abstainer_monei";1;1;
"abstract_unmix";1;1;
"abund";1;1;
"abundance_tourist";1;1;
"abus";1;1;
"abused_girl";1;1;
"abutting_fal";1;1;
"ac";1;1;
"ac_uk";1;1;
"academ";1;1;
"academic_séamu";1;1;
"accent";1;1;
"accent_pr";1;1;
"accentu";1;1;
"accentuating_woman";1;1;
"accept_leadership";1;1;
"accepted_slowli";1;1;
"accepted_work";1;1;
"access_";1;1;
"access_area";1;1;
"access_clar";1;1;
"access_cliff";1;1;
"access_fermanagh";1;1;
"access_newli";1;1;
"access_sandycov";1;1;
"access_slop";1;1;
"access_southeast";1;1;
"accessed_main";1;1;
"accessed_pleas";1;1;
"accessibility_undoubt";1;1;
"accessible_averag";1;1;
"accessible_dublin";1;1;
"accessible_region";1;1;
"accessible_shor";1;1;
"accessible_stori";1;1;
"accessible_touchscreen";1;1;
"accessible_ulst";1;1;
"accession_eighteenth";1;1;
"acclaim";2;2;
"acclaim_";1;1;
"acclaimed_writ";1;1;
"accommodation_avail";1;1;
"accommodation_belfast";1;1;
"accommodation_concentr";1;1;
"accommodation_dublin";1;1;
"accommodation_en";1;1;
"accommodation_especi";1;1;
"accommodation_off";1;1;
"accommodation_person";1;1;
"accommodation_queen";1;1;
"accommodation_restaur";1;1;
"accommodation_south";1;1;
"accommodation_travel";1;1;
"accompani";3;3;
"accompanied_speci";1;1;
"accompaniment_ether";1;1;
"accord";2;3;
"according_biograph";1;1;
"according_book";1;1;
"according_difficulti";1;1;
"account";2;4;
"account_admit";1;1;
"account_sport";1;1;
"accounts_patrick";1;2;
"accuraci";1;1;
"accuracy_poet";1;1;
"acetylen";1;1;
"acetylene_ga";1;1;
"achieved_grattan";1;1;
"achievement_becom";1;1;
"achievement_colonist";1;1;
"acquaint";1;1;
"acquaintance_edward";1;1;
"acquir";2;2;
"acquired_germani";1;1;
"acquired_legendari";1;1;
"acquisit";1;1;
"acquisition_term";1;1;
"acr";2;2;
"acres_riv";1;1;
"act";3;7;
"act_";1;1;
"act_cruc";1;1;
"act_union";2;2;
"action";3;3;
"action_end";1;1;
"action_hostel";1;1;
"action_look";1;1;
"active_car";1;1;
"activist";1;1;
"activist_jam";1;1;
"activities_belfast";1;2;
"activities_dublin";1;1;
"activities_inishmaan";1;1;
"activity_mur";1;1;
"activity_regener";1;1;
"actor";1;1;
"actor_stephen";1;1;
"acts_host";1;1;
"acts_plac";1;1;
"acts_spread";1;1;
"actual_battl";1;1;
"actual_glori";1;1;
"actual_period";1;1;
"actually_complex";1;1;
"actually_compos";1;1;
"actually_split";1;1;
"ad_old";1;1;
"adam";1;1;
"adams_ian";1;1;
"added_eccentr";1;1;
"added_nineteenth";1;1;
"added_top";1;1;
"added_victorian";1;1;
"adding_wal";1;1;
"addit";1;2;
"addition_plenti";1;1;
"addition_roast";1;1;
"address";2;3;
"address_dublin";1;1;
"address_issu";1;1;
"addresses_crumlin";1;1;
"adds_effect";1;1;
"adds_sens";1;1;
"adequ";1;1;
"adequate_predica";1;1;
"adjac";2;4;
"adjacent_treasuri";1;1;
"adjoin";1;1;
"administr";1;1;
"administration_armi";1;1;
"admiss";2;2;
"admission_fre";1;1;
"admission_pric";1;1;
"admits_bon";1;1;
"admitted_month";1;1;
"adopted_loc";1;1;
"adopted_titl";1;1;
"adopts_specif";1;1;
"adorn";2;2;
"adorned_superb";1;1;
"advanc";3;4;
"advance_book";1;1;
"advance_highli";1;1;
"advance_walk";1;1;
"advancing_ulst";1;1;
"advantag";1;1;
"advantageous_spot";1;1;
"adventures_bas";1;1;
"adventures_t";1;1;
"adventures_told";1;1;
"advertisements_top";1;1;
"advis";3;3;
"advisable_essenti";1;1;
"advise_advantag";1;1;
"adviser_william";1;1;
"ae";1;1;
"aengu";1;1;
"aerial";1;1;
"aerial_descript";1;1;
"affair";2;5;
"affair_explor";1;2;
"affair_start";1;1;
"affairs_becam";1;1;
"affairs_tak";1;1;
"affected_black";1;1;
"afford_tim";1;1;
"afield";2;2;
"afield_australia";1;1;
"afield_mad";1;1;
"africa";2;2;
"africa_eastern";1;1;
"aftermath";1;1;
"aftermath_peac";1;1;
"afternoon";3;5;
"afternoon_tea";1;2;
"afternoons_includ";1;1;
"afternoons_read";1;1;
"afternoons_third";1;1;
"afterwards_tini";1;1;
"age_beaghmor";1;1;
"age_c";1;1;
"age_cemeteri";1;1;
"age_decid";1;1;
"age_engross";1;1;
"age_fort";1;1;
"age_meanwhil";1;1;
"age_noblemen";1;1;
"age_run";1;1;
"age_train";1;1;
"aged_complet";1;1;
"agenc";1;1;
"agency_year";1;1;
"agit";1;1;
"agreeabl";2;2;"0.0956077047468653"
"agreeable_picn";1;1;
"agreeable_watch";1;1;
"agreed_valu";1;1;
"agreement";1;1;
"agreement_c";1;1;
"ahead_especi";1;1;
"ahead_morn";1;1;
"aid";1;1;
"aided_larg";1;1;
"aim_ensur";1;1;
"aim_forc";1;1;
"aimed_primarili";1;1;
"aims_diminish";1;1;
"aims_illumin";1;2;
"aims_serv";1;1;
"air_";1;1;
"air_brac";1;1;
"air_concert";1;1;
"air_ev";1;1;
"air_museum";1;1;
"air_tun";1;1;
"airgead";1;1;
"airgead_sróin";1;1;
"airi";1;1;
"airs_grac";1;1;
"airy_courtyard";1;1;
"aisl";1;1;
"aisle_contain";1;1;
"aka_barrow";1;1;
"aka_gravedigg";1;1;
"al";1;2;
"alcohol";1;1;
"alcoholic_prompt";1;1;
"alder";1;1;
"alder_hanap";1;1;
"ale_";1;1;
"ale_product";1;1;
"alessandro";1;1;
"alessandro_galilei";1;1;
"alexander_mcqueen";1;1;
"alfred_chest";1;1;
"alignments_correl";1;1;
"alike_began";1;1;
"allegedli";1;1;
"allegedly_buri";1;1;
"allegi";1;1;
"allegiances_paint";1;1;
"allen_north";1;1;
"alli";2;2;
"allied_ulst";1;1;
"allit";1;1;
"alliterative_bedrock";1;1;
"alloc";1;1;
"allocated_plot";1;1;
"allowed_continu";1;1;
"allowed_weekli";1;1;
"allowing_passag";1;1;
"allur";3;3;
"allures_neat";1;1;
"alluring_travel";1;1;
"ally_loui";1;1;
"alpin";1;1;
"alpine_spr";1;1;
"altered_c";1;1;
"altering_redecor";1;1;
"alternative_anglican";1;1;
"alternative_boutiqu";1;1;
"alternative_monei";1;1;
"alternative_wai";1;2;
"alternatively_";1;1;
"alternatively_gain";1;1;
"alternatively_head";1;1;
"alternatively_tim";1;1;
"altogether_point";1;1;
"altruist";1;1;
"amalgam";1;1;
"amassed_consider";1;1;
"amaz";1;1;
"amazing_stalactit";1;1;
"amazingli";1;1;
"amazingly_mil";1;1;
