"word";"in documents";"total";"att_1"
"aa_help";1;1;
"abbazia";1;3;
"abbazia_di";1;3;
"abbei";1;3;
"abbey_gener";1;1;
"abbey_hug";1;1;
"abbey_sign";1;1;
"abbot";1;1;
"abl";2;6;
"able_get";1;1;
"able_jazz";1;1;
"able_negoti";1;1;
"able_se";1;1;
"able_subdu";1;1;
"able_visit";1;1;
"absorb_blood";1;1;
"absorbed_rhythm";1;1;
"absorbed_unit";1;1;
"absorbing_museum";1;1;
"abund";1;1;
"abundant_autumn";1;1;
"abus";1;1;
"abusing_pow";1;1;
"ac";1;6;
"ac_associazion";1;1;
"ac_fan";1;1;
"ac_milan";1;3;
"ac_reviv";1;1;
"accademia";2;10;
"accademia_assembl";1;1;
"accademia_built";1;1;
"accademia_galleria";1;1;
"accademia_quart";1;1;
"accademia_rec";1;1;
"accademia_salut";1;1;
"accademia_show";1;1;
"accademia_uffizi";1;1;
"accede_napoleon";1;1;
"acceler";1;2;
"accelerated_greatli";1;1;
"accelerated_lombard";1;1;
"accentu";1;1;
"accentuate_carv";1;1;
"accepting_shar";1;1;
"access_cathedr";1;1;
"access_mont";1;1;
"access_toilet";1;1;
"access_vari";1;1;
"accident";1;1;
"accidentally_struck";1;1;
"accommodate_rel";1;1;
"accommodation_agriturismi";1;1;
"accommodation_brok";1;1;
"accommodation_cheap";1;1;
"accommodation_jun";1;1;
"accommodation_li";1;1;
"accommodation_priv";1;1;
"accommodation_sardinia";1;2;
"accommodation_sicili";1;1;
"accommodation_t";1;1;
"accommodation_top";1;1;
"accommodation_town";1;1;
"accompani";2;2;
"accompanied_guid";1;1;
"accompany_spritz";1;1;
"accomplishment_paint";1;1;
"accord";2;3;
"according_grad";1;1;
"according_soci";1;1;
"accordingli";1;2;
"accordingly_expens";1;1;
"accordingly_impos";1;1;
"account";3;3;
"account_excel";1;1;
"account_follow";1;1;
"accounts_l";1;1;
"accur";1;1;
"accuraci";1;1;
"accuracy_drap";1;1;
"accurate_entr";1;1;
"acqua";1;1;
"acqua_alta";1;1;
"acquir";1;2;
"acquired_nicknam";1;1;
"acquired_tast";1;1;
"acr";1;1;
"acreid";1;1;
"acreide_tyndari";1;1;
"acres_mediev";1;1;
"acropoli";1;1;
"act_bas";1;1;
"act_consider";1;1;
"act_theft";1;1;
"acting_bridg";1;1;
"action";1;1;
"actions_reduc";1;1;
"active_buffet";1;1;
"active_centr";1;1;
"active_district";1;1;
"active_fish";1;1;
"active_ultim";1;1;
"active_volcano";1;1;
"activities_avail";1;1;
"activities_cook";1;1;
"activities_origin";1;1;
"activities_overlook";1;1;
"activity_itali";1;1;
"actually_night";1;1;
"actually_priv";1;1;
"acut";1;1;
"acute_portrait";1;1;
"ad_citi";1;1;
"ad_dai";1;1;
"ad_emperor";2;2;
"ad_end";1;1;
"ad_poss";1;1;
"added_character";1;1;
"added_famili";1;1;
"added_reason";1;1;
"added_restaur";1;1;
"added_surr";1;1;
"added_system";1;1;
"adding_reviv";1;1;
"addit";1;1;
"addition_beauti";1;1;
"adequ";1;1;
"adequate_insur";1;1;
"adig";1;2;
"adige_eastern";1;1;
"adige_similarli";1;1;
"adjac";3;3;
"adjacent_baptistri";1;1;
"adjacent_mestr";1;1;
"admiss";1;1;
"admissions_restrict";1;1;
"adoni";1;1;
"adonis_reduc";1;1;
"ador";1;5;
"adoration_magi";1;4;
"adoration_shepherd";1;1;
"adorn";1;1;
"adornment_porta";1;1;
"adriat";2;2;
"adriatic_industri";1;1;
"adriatic_persist";1;1;
"advanc";3;7;
"advance_book";1;1;
"advance_essenti";1;1;
"advance_onlin";1;1;
"advance_period";1;1;
"advance_reserv";1;1;
"advance_summ";1;1;
"advantag";2;2;
"advantage_eas";1;1;
"advantage_good";1;1;
"adventure_trip";1;1;
"advertisements_hostel";1;1;
"advertising_provid";1;1;
"advisable_";1;1;
"advisable_book";1;1;
"advised_stai";1;1;
"advised_straightforward";1;1;
"advised_strongli";1;1;
"advised_tak";1;1;
"adviser_niccolò";1;1;
"aeolian_egadi";1;1;
"aeolian_pelagi";1;1;
"aeolians_distinct";1;1;
"aeolians_egadi";1;2;
"aeolians_gener";1;1;
"aeolians_main";1;1;
"aeolians_moscato";1;1;
"aerial";1;1;
"aerial_view";1;1;
"affair_exud";1;1;
"affair_herculaneum";1;1;
"affairs_complet";1;1;
"affairs_g";1;1;
"affairs_gener";1;1;
"affairs_l";1;1;
"affection";1;1;
"affili";1;1;
"affiliate_link";1;1;
"affording_dist";1;1;
"aficionado";1;1;
"aficionados_s";1;1;
"africa";2;3;
"africa_europ";1;1;
"africa_juli";1;1;
"african_atmospher";1;1;
"african_coast";1;1;
"african_indian";1;1;
"african_root";1;1;
"afternoon";3;3;
"afternoon_occasion";1;1;
"afternoon_piazza";1;1;
"afternoon_read";1;1;
"aged_palazzi";1;1;
"agenc";2;3;
"agencies_includ";1;1;
"agency_keep";1;1;
"agency_town";1;1;
"agent";1;1;
"agent_brug";1;1;
"ages_flourish";1;1;
"ages_pul";1;1;
"ages_sassari";1;1;
"ages_war";1;1;
"aggiu";1;3;
"aggius_centr";1;1;
"aggius_corn";1;1;
"aggius_isl";1;1;
"agit";1;1;
"agitation_calumni";1;1;
"agoni";1;1;
"agony_shield";1;1;
"agricultur";2;3;
"agricultural_plain";1;1;
"agricultural_zon";1;1;
"agriculture_tour";1;1;
"agrigento_cost";1;1;
"agrigento_handsom";1;1;
"agrigento_rar";1;1;
"agrigento_sit";1;1;
"agrigento_templ";1;1;
"agriturismi";2;2;
"agriturismi_plac";1;1;
"agriturismi_rec";1;1;
"agriturismo";3;3;
"agriturismo_cottag";1;1;
"agriturismo_websit";1;1;
"agriturist";1;1;
"agriturist_agriturismo";1;1;
"ahead_exit";1;1;
"aid";1;1;
"aig";1;3;
"aig_hostel";1;1;
"aig_memb";1;1;
"aig_membership";1;1;
"ail";1;1;
"aim";2;2;
"aim_spend";1;1;
"aim_torbol";1;1;
"air";3;11;
"air_canada";1;1;
"air_charg";1;1;
"air_empti";1;1;
"air_evid";1;1;
"air_exclus";1;1;
"air_franc";1;1;
"air_pisa";1;1;
"air_pool";1;1;
"air_venu";1;1;
"airbnb";1;1;
"airbnb_rur";1;1;
"airi";1;1;
"airlin";1;3;
"airline_airlin";1;1;
"airlines_british";1;1;
"airlines_includ";1;1;
"airport";3;13;
"airport_";1;1;
"airport_birgi";1;1;
"airport_coast";1;1;
"airport_port";1;1;
"airport_sardinia";1;1;
"airport_trapani";1;1;
"airports_";1;1;
"airports_comiso";1;1;
"airports_island";1;1;
"airports_palermo";1;2;
"airports_rom";1;1;
"airports_travel";1;1;
"airwai";1;1;
"airways_air";1;1;
"airy_renaiss";1;1;
"aisl";3;3;
"aisle_gi";1;1;
"aisle_uccello";1;1;
"aisles_separ";1;1;
"akraga";1;2;
"akragas_surround";1;1;
"al";2;2;
"al_burro";1;1;
"al_mont";1;1;
"alabast";1;5;
"alabaster_arezzo";1;1;
"alabaster_factori";1;1;
"alabaster_form";1;1;
"alabaster_lend";1;1;
"alabaster_sculpt";1;1;
"albanesi";1;1;
"albanesi_l";1;1;
"alberti";1;1;
"alchemi";1;1;
"alchemy_ferdinando";1;1;
"alcohol";1;3;
"alcohol_infus";1;1;
"alcohol_summ";1;1;
"alcoholic_equival";1;1;
"alert";1;1;
"alerted_chianti";1;1;
"alessandro";1;1;
"alessandro_d";1;1;
"alexander_vii";1;1;
"alexandria";1;1;
"alexandria_st";1;1;
"alghero";1;15;
"alghero_";1;3;
"alghero_alghero";1;3;
"alghero_com";1;1;
"alghero_exampl";1;1;
"alghero_keep";1;1;
"alghero_km";1;1;
"alghero_neptun";1;1;
"alghero_olbia";1;1;
"alghero_stalactit";1;1;
"alghero_ticket";1;1;
"alimentari";1;1;
"alimentari_groc";1;1;
"alitalia";2;3;
"alitalia_air";1;1;
"alitalia_rout";1;1;
"aliv";1;1;
"alive_spot";1;1;
"alle_fonti";1;1;
"allegi";1;1;
"allegiance_byzantium";1;1;
"allegori";1;2;
"allegory_cr";1;1;
"allegory_giovanni";1;1;
"allergi";1;1;
"allergies_intoler";1;1;
"alleys_intim";1;1;
"alleyway_numb";1;1;
"alli";1;1;
"allied_bomb";1;1;
"alloc";1;1;
"allocated_accord";1;1;
"allow_tim";1;1;
"allowed_bar";1;1;
"allowing_control";1;1;
"allur";1;1;
"alluring_li";1;1;
"alp";2;2;
"alpino";1;1;
"alpino_italiano";1;1;
"alps_highlight";1;1;
"alps_rest";1;1;
"alta";1;1;
"alta_wint";1;1;
"altar";1;1;
"altar_north";1;1;
"altarpiec";2;3;
"altarpiece_san";1;1;
"altarpiece_work";1;1;
"altarpieces_maestà";1;1;
"altered_concess";1;1;
"alternate_sundai";1;1;
"alternately_feroci";1;1;
"alternative_cok";1;1;
"alternative_hotel";1;1;
"alternatively_consult";1;1;
"alternatively_dial";1;1;
"alternatively_loc";1;1;
"alternatively_plac";1;1;
"alternatives_restaur";1;1;
"alters_loc";1;1;
"alto";1;2;
"alto_adig";1;2;
"amara";1;1;
"amaz";1;1;
"amazing_stori";1;1;
"amazingli";1;1;
"amazingly_leav";1;1;
"ambienc";1;1;
"ambience_preserv";1;1;
"ambigu";1;1;
"ambiguity_g";1;1;
"ambiti";1;1;
"ambitious_attempt";1;1;
"ambival";1;1;
"ambivalent_respons";1;1;
"ambrogio";2;5;
"ambrogio_ambros";1;1;
"ambrogio_bapt";1;1;
"ambrogio_c";1;1;
"ambrogio_coupl";1;1;
"ambrogio_pietro";1;1;
"ambros";1;1;
"ambrose_swiftli";1;1;
"americas_cup";1;1;
"amphitheatr";1;1;
"amphitheatre_nam";1;1;
"ampli";1;1;
"amply_compens";1;1;
"anaem";1;1;
"anatom";1;1;
"anatomical_accuraci";1;1;
"anchovi";1;1;
"anchovies_cap";1;1;
"ancient_book";1;1;
"ancient_church";2;3;
"ancient_exhibit";1;1;
"ancient_greek";1;3;
"ancient_lofti";1;1;
"ancient_phoenician";1;1;
"ancient_pompeii";1;1;
"ancient_town";1;1;
"ando";1;1;
"ando_unquestion";1;1;
"andronov_shutterstock";1;1;
"angel";1;2;
"angel_profil";1;1;
"angelico";1;2;
"angelico_";1;2;
"angels_galleri";1;1;
"anglo";1;1;
"anglo_saxon";1;1;
"angularity_agit";1;1;
"anim";1;1;
"animals_took";1;1;
"ankl";1;1;
"ankle_support";1;1;
"anni_di";1;1;
"announc";1;1;
"announces_discipl";1;1;
"annunci";1;5;
"annunciation_holi";1;1;
"anonymous_part";1;1;
"anti";1;1;
"anti_semit";1;1;
"antidot";1;1;
"antidote_steril";1;1;
"antin";1;1;
"antioco";1;3;
"antioco_join";1;1;
"antipasti";2;2;
"antipasti_follow";1;1;
"antipasti_peas";1;1;
"antonio";3;3;
"antonio_bazzi";1;1;
"antonio_primarili";1;1;
"anywhere_els";3;3;
"aosta";3;3;
"apart_";1;1;
"apart_occasion";1;1;
"apart_skirt";1;1;
"apartment_expens";1;1;
"apartments_campsit";1;1;
"apartments_establish";1;1;
"apartments_loc";1;1;
