"word";"in documents";"total";"att_1"
"abandoned_german";1;1;
"abil";1;1;
"abilities_pick";1;1;
"absenc";1;1;
"absence_town";1;1;
"access";10;11;
"access_secur";10;10;
"accommod";1;1;
"accommodation_villag";1;1;
"account";1;1;
"account_europ";1;1;
"ad";10;10;
"ads_relev";10;10;
"adventur";10;10;
"adventure_level";10;10;
"advertis";10;10;
"advertisers_gad";10;10;
"advic";10;10;
"advice_poland";2;2;
"advice_rough";8;8;
"ag";10;20;
"ag_bahnhofplatz";10;10;
"ag_right";10;10;
"agre";10;30;
"agreed_privaci";10;10;
"agreeing_giv";10;10;
"ahead_book";1;1;
"america";10;60;
"america_caribbean";10;60;
"anonymously_market";10;10;
"anti";1;1;
"anti_communist";1;1;
"apa";10;30;
"apa_digit";10;20;
"apa_group";10;10;
"april";2;2;
"april_jun";1;1;
"april_oct";1;1;
"architectur";1;1;
"architecture_tak";1;1;
"archwai";1;1;
"archways_waterfront";1;1;
"area";10;10;
"areas_websit";10;10;
"arranging_logist";10;10;
"arriv";1;1;
"arrive_tim";1;1;
"art";3;4;
"art_book";3;3;
"art_collect";1;1;
"arti";2;2;
"articl";10;10;
"article_min";1;1;
"articles_galleri";9;9;
"arty_bohemian";1;1;
"arty_youth";1;1;
"aspect";1;1;
"aspect_camp";1;1;
"assembl";1;1;
"assembly_monu";1;1;
"atmospher";1;1;
"atmosphere_stateli";1;1;
"attractions_warsaw";1;1;
"audio";1;1;
"audio_phrasebook";1;1;
"aug";3;3;
"aug_daili";2;2;
"auschwitz";1;2;
"auschwitz_sit";1;1;
"auth";10;40;
"ba_unit";10;10;
"backpack";1;1;
"backpackers_c";1;1;
"bahnhofplatz";10;10;
"bahnhofplatz_siebnen";10;10;
"bank";3;3;
"bank_heart";1;1;
"bank_wis?a";1;1;
"banks_riv";1;1;
"bapist";1;1;
"bapist_structur";1;1;
"bar";1;1;"0.06682691780147322"
"baroqu";2;2;
"baroque_palac";1;1;
"barrack";1;1;
"barrack_block";1;1;
"bars_inexpens";1;1;
"base";1;1;
"base_lakesid";1;1;
"basic_funct";10;10;
"bear";2;2;
"bearing_notori";1;1;
"bears_tatra";1;1;
"beat";10;20;
"beat_checkconnect";10;20;
"beaten_track";10;10;
