"word";"in documents";"total";"att_1"
"abandoned_ad";1;1;
"abandoned_el";1;1;
"abl";2;3;
"able_regener";1;1;
"able_sneak";1;1;
"able_strip";1;1;
"abraço";1;1;
"absorbed_neighbourhood";1;1;
"academ";1;3;
"academic_burn";1;1;
"academic_prison";1;2;
"access_archeolog";1;2;
"access_modern";1;1;
"access_n";1;1;
"access_point";2;2;
"access_sandbank";1;1;
"access_seri";1;1;
"accessed_muxagata";1;1;
"accessed_portimão";1;1;
"accessed_seventeenth";1;1;
"accessed_virtu";1;1;
"accessible_bu";1;1;
"accessible_car";1;1;
"accessible_coast";1;1;
"accessible_coupl";1;1;
"accessible_douro";1;1;
"accessible_main";1;1;
"accessible_straight";1;1;
"accessible_villag";1;1;
"accessible_worth";1;1;
"acclaim";1;1;
"acclaimed_dom";1;1;
"accommod";4;9;
"accommodate_douro";1;1;
"accommodation_avail";1;1;
"accommodation_coast";1;1;
"accommodation_plac";1;1;
"accommodation_reason";1;1;
"accommodation_region";1;1;
"accommodation_scarc";1;1;
"accommodation_stud";1;1;
"accommodation_vicin";1;1;
"accompani";1;1;
"accord";2;2;
"accord_sign";1;1;
"according_legend";1;1;
"achieved_fam";1;1;
"acorn";1;1;
"acorns_lunchtim";1;1;
"acquir";2;2;
"acquired_distinctli";1;1;
"acquired_lay";1;1;
"acr";1;1;
"acre_demarc";1;1;
"act";2;2;
"action";1;1;
"action_pm";1;1;
"active_histor";1;1;
"active_servic";1;2;
"activities_centr";1;1;
"activities_guid";1;1;
"activities_swim";1;1;
"activity_arson";1;1;
"activity_mooch";1;1;
"acts_book";1;1;
"acts_includ";1;1;
"actual_sight";2;2;
"actually_pleas";1;1;
"actually_run";1;1;
"actually_start";1;1;
"actually_wrot";1;1;
"add_giganton";1;1;
"add_modern";1;1;
"added_bonu";1;1;
"added_eighteenth";1;1;
"addit";2;3;
"addition_brandi";1;2;
"additions_castelo";1;1;
"adega";1;1;
"adega_mayor";1;1;
"adjac";4;4;
"adjacent_bishop";1;1;
"adjacent_capela";1;1;
"adjacent_jardim";1;1;
"adjacent_pedestrian";1;1;
"admir";2;2;
"admire_amazingli";1;1;
"admiring_pastel";1;1;
"admittedli";1;1;
"admittedly_touristi";1;1;
"adorn";1;1;
"adorned_baroqu";1;1;
"adrão";1;1;
"adrão_cobbl";1;1;
"adulter";1;1;
"adulterated_inferior";1;1;
"advanc";1;2;
"advance_person";1;1;
"advance_recommend";1;1;
"adventure_beach";1;1;
"adventure_tour";1;1;
"adventurous_rota";1;1;
"advertising_hoard";1;1;
"affair";1;1;
"affair_french";1;1;
"affected_town";1;1;
"affection";1;1;
"afforded_rug";1;1;
"affords_superb";1;1;
"aficionado";1;1;
"aficionados_l";1;1;
"afonso_henriqu";1;1;
"afonso_iv";1;1;
"africa";1;1;
"africa_decemb";1;1;
"african_coast";1;1;
"african_look";1;1;
"african_pir";1;1;
"afternoon";3;6;
"afternoon_brief";1;1;
"afternoon_night";1;1;
"afternoon_pm";1;1;
"afternoon_wind";1;1;
"afternoons_hr";1;1;
"afternoons_sp";1;1;
"afterwards_famili";1;1;
"age_cam";1;1;
"age_hil";1;1;
"age_includ";1;1;
"age_old";1;1;
"age_remain";1;1;
"age_win";1;1;
"aged_win";1;1;
"agenc";1;1;
"agency_lousitânea";1;1;
"ages_cavort";1;1;
"ages_covilhã";1;1;
"agonía";1;1;
"agree_get";1;1;
"agreeabl";2;2;"0.0956077047468653"
"agreeable_hubbub";1;1;
"agreeable_plac";1;1;
"agreed_citadel";1;1;
"agricultur";3;5;
"agricultura";2;2;
"agricultura_";1;1;
"agricultura_da";1;1;
"agricultural_est";1;1;
"agricultural_impl";1;1;
"agricultural_shindig";1;1;
"agricultural_tour";1;1;
"agriculture_follow";1;1;
"aid";1;1;
"aids_replica";1;1;
"aigra";1;1;
"aigra_nova";1;1;
"aim";2;2;
"aim_reli";1;1;
"aims_preserv";1;1;
"air_";1;1;
"air_balloon";1;1;
"air_hilltop";1;1;
"air_market";1;1;
"air_perform";1;1;
"air_prosper";1;1;
"air_restaur";1;1;
"airbas";1;1;
"airbase_open";1;1;
"aircraft";1;1;
"aircraft_foreign";1;1;
"airlin";1;1;
"airlines_us";1;1;
"airport";2;4;
"airport_continu";1;1;
"airport_eyebrow";1;1;
"airport_hardli";1;1;
"airport_log";1;1;
"al";1;1;
"al_gharb";1;1;
"alarm";1;1;
"alarm_clock";1;1;
"albergaria";1;1;
"albufeira";2;16;
"albufeira_";1;1;
"albufeira_armação";1;1;
"albufeira_beach";1;1;
"albufeira_form";1;1;
"albufeira_front";1;1;
"albufeira_heavili";1;1;
"albufeira_juli";1;1;
"albufeira_nearest";1;1;
"albufeira_off";1;1;
"albufeira_origin";1;1;
"albufeira_portug";1;2;
"albufeira_summ";1;1;
"albufeira_tim";1;1;
"albufeira_undeni";1;1;
"alcino";1;1;
"alcoforado";1;1;
"alcoforado_liv";1;1;
"alcohol";1;1;
"alcohol_fuel";1;1;
"alcoutim";1;8;
"alcoutim_histori";1;2;
"alcoutim_km";1;2;
"alcoutim_ruin";1;2;
"alcoutim_spanish";1;1;
"alcoutim_west";1;1;
"alcácer";1;2;
