"word";"in documents";"total";"att_1"
"abandoned_saxon";1;1;
"absurdli";1;1;
"absurdly_expens";1;1;
"acceptable_us";1;1;
"access";10;12;
"access_secur";10;10;
"access_transport";1;1;
"accessed_speci";1;1;
"account";1;1;
"accounted_fifth";1;1;
"activ";1;1;
"activities_hik";1;1;
"ad";10;11;
"adding_multiethn";1;1;
"addit";1;1;
"addition_napoca";1;1;
"administ";1;1;
"administered_region";1;1;
"administr";1;1;
"administrative_build";1;1;
"adopted_turkish";1;1;
"ads_relev";10;10;
"advertis";10;10;
"advertisers_gad";10;10;
"advic";10;10;
"advice_rough";10;10;
"advis";1;1;
"advised_sultan";1;1;
"africa";1;2;
"ag";10;20;
"ag_bahnhofplatz";10;10;
"ag_right";10;10;
"aggrav";1;1;
"agon";1;1;
"agre";10;30;
"agreeabl";1;1;"0.0956077047468653"
"agreeably_ramshackl";1;1;"0.0956077047468653"
"agreed_privaci";10;10;
"agreeing_giv";10;10;
"agricultur";1;1;
"agricultural_us";1;1;
"air";1;1;
"air_sophist";1;1;
"aka_dracula";1;1;
"alba_brad";1;1;
"alexandru";1;1;
"alexandru_ioan";1;1;
"aliv";2;2;
"alive_found";1;1;
"alive_frog";1;1;
"alpin";1;1;
"alpine_resort";1;1;
"amassing_fortun";1;1;
"amaz";1;1;
"amazement_wrot";1;1;
"america";10;60;
"america_caribbean";10;60;
"annexe_extern";1;1;
"anonymously_market";10;10;
"ant";1;1;
"ante_kept";1;1;
"anti";1;2;
"apa";10;30;
"apa_digit";10;20;
"apa_group";10;10;
"april";1;1;
"april_jun";1;1;
"apuseni";1;4;
"apuseni_girl";1;1;
"apuseni_mountain";1;3;
"architect";1;1;
"architects_seven";1;1;
"arctic";1;1;
"arctic_greb";1;1;
"area";10;14;
"area_commonli";1;1;"0.0956077047468653"
"area_mak";1;1;"0.0956077047468653"
"area_particularli";1;1;
"areas_length";1;1;
"areas_websit";10;10;
"aref";1;1;
"arefu";1;3;
"arefu_cetatea";1;3;
"arge?";1;1;
"arge?_aref";1;1;
"arie?";1;2;
"arie?_vallei";1;1;
"arie?_west";1;1;
"armi";1;1;
"army_settl";1;1;
"arrange_homestai";1;1;
"arsonist";1;1;
"arsonists_burn";1;1;
"art";1;1;
"art_access";1;1;
"articl";10;10;
"articles_galleri";10;10;
"artist";1;1;
"artists_mostli";1;1;
"art?";1;2;
"art?_contemporan?";1;2;
"ascend";1;1;
"ascendancy_d";1;1;
"aside_fact";1;1;
"associ";1;1;
"associate_ia?i";1;1;
"attack";1;1;
"attacked_occas";1;1;
"attempt";1;1;
"attempted_conscript";1;1;
"attic";1;1;
"attic_grain";1;1;
"attracted_tal";1;1;
"attractions_mountain";1;1;
"attractive_c";1;1;
"auth";10;40;
"author";1;1;
"authority_symbol";1;1;
"autumn";1;1;
"autumn_migr";1;1;
"avail";1;1;
"averag";1;1;
"avocet";1;1;
"avocets_shelduck";1;1;
"axi";1;1;
"axis_c";1;1;
"ba_unit";10;10;
"bahnhofplatz";10;10;
"bahnhofplatz_siebnen";10;10;
"balkan";1;1;
"balkan_c";1;1;
"bar";2;2;"0.06682691780147322"
"baroqu";2;2;
"baroque_pia?a";1;1;
"baroque_secess";1;1;
"bars_area";1;1;"0.0956077047468653"
"bars_restaur";1;1;
"base";2;2;
"base_piatra";1;1;
"basement";1;1;
"basement_terrac";1;1;
"basic_funct";10;10;
"beach";1;1;
"beaches_dazzl";1;1;
"beat";10;20;
"beat_checkconnect";10;20;
"beelin";1;1;
"beeline_larg";1;1;
"beetl";1;1;
"beetles_hawk";1;1;
"begin_work";1;1;
"behalf";1;1;
"behalf_ottoman";1;1;
"bench";1;1;
"benches_litt";1;1;
"bihor";1;1;
"bihor_counti";1;1;
"bin";1;1;
"bins_paint";1;1;
"bird";1;1;
"birds_april";1;1;
"birthplac";1;1;
"birthplace_centr";1;1;
"bit";1;1;
"bit_hungarian";1;1;
"black_church";1;1;
"black_sea";2;2;
"boar";1;1;
"boars_wolv";1;1;
"book";10;30;
"book_rough";10;10;
"book_trip";10;10;
"books_featur";10;10;
"border";2;2;
"border_off";1;1;
"born_jewish";1;1;
"bound_pia?a";1;1;"0.0956077047468653"
"boyar";1;2;
"boyars_adopt";1;1;
"boyars_promot";1;1;
"brad";1;1;
"brad_deva";1;1;
"bran";1;1;
"bran_castl";1;1;
"brand";1;1;
"brand_nation";1;1;
"brasov";1;1;
"brasov_romania";1;1;
"brassó";1;1;
"brassó_hungarian";1;1;
"bra?ov";1;2;
"bra?ov_";1;1;
"bra?ov_fortifi";1;1;
"breathtak";1;1;
"breathtaking_scal";1;1;
"breed";1;3;
"breed_summ";1;1;
"breed_tim";1;1;
"breeds_delta";1;1;
"brief";2;3;
"brief_histori";2;2;
"brief_reign";1;1;
"brightli";1;1;
"brightly_paint";1;1;
"browser";10;20;
"browser_improv";10;10;
"browser_pleas";10;10;
"br?tianu";1;1;"0.0956077047468653"
"br?tianu_east";1;1;"0.0956077047468653"
"bucharest";10;15;
"bucharest_";1;2;"0.1912154094937306"
"bucharest_delta";1;1;
"bucharest_introduc";1;1;
"bucharest_mer";1;1;
"bucharest_romania";2;2;
"bucharest_rough";8;8;"0.0043747686474825045"
"bucovina";1;1;
"bucovina_moldavia";1;1;
"budget";10;10;
"budget_romania";2;2;
"budget_rough";8;8;"0.009265343910689132"
"building_";1;2;
"building_grasp";1;1;
"building_world";1;1;
"buildings_buzz";1;1;
"buildings_fac";1;1;
"built_sit";1;1;
"bulevardul";3;3;
"bulevardul_i";1;1;"0.0956077047468653"
"bulevardul_unirii";1;1;
"bulevardul_?tefan";1;1;
"bulgarian";1;1;
"bulgarian_bord";1;1;
"bulldoz";1;1;"0.0956077047468653"
"bulldozers_off";1;1;"0.0956077047468653"
"bunker";1;1;
"bunker_m";1;1;
"bunt";1;1;
"buntings_whit";1;1;
"burial";1;1;
"burial_plac";1;1;
"burn";1;1;
"burned_al";1;1;
"buzz";2;2;
"buzzing_cluj";1;1;
"byzantine_roman";1;1;
"c";10;21;
"c_br?tianu";1;1;"0.0956077047468653"
"c_user";10;20;
"café";2;3;"0.06682691780147322"
"café_societi";1;1;
"cafés_bar";1;1;"0.0956077047468653"
"cafés_restaur";1;1;
"calea";1;1;
"calea_victoriei";1;1;"0.0956077047468653"
"call";1;1;
"called_yiddish";1;1;
"canal";2;2;
"canal_book";2;2;
"cantemir";1;1;
"cantemir_";1;1;
"capit";3;3;
"capital_attract";1;1;
"capital_c";1;1;
"capital_repel";1;1;
"car";3;3;
"car_warn";1;1;
"caribbean";10;60;
"caribbean_apuseni";1;1;
"caribbean_arefu";1;1;
"caribbean_centr";10;50;
"caribbean_delta";2;2;
"caribbean_find";6;6;"0.021210449751781844"
"carol";1;2;
"carol_ii";1;1;
"carol_train";1;1;
"carp";1;1;
"carp_pik";1;1;
"carpathian";1;1;
"carpathian_pass";1;1;
"cars_remain";1;1;
"cars_scuttl";1;1;
"casa";1;3;
"casa_nebunului";1;1;
"casa_poporului";1;1;
"casa_republicii";1;1;
"castl";2;5;
"castle_aka";1;1;
"castle_mak";1;1;
"castle_tourist";1;1;
"castle_transylvania";1;1;
"castle_vlad";1;1;
"catalogu";1;1;
"catalogued_delta";1;1;
"cathedr";1;1;
"cathedral_clutch";1;1;
"ceau?escu";4;6;"0.03804613085608118"
"ceau?escu_";4;4;"0.03804613085608118"
"ceau?escu_c";1;1;
"ceau?escus_chang";1;1;
"ceiling";1;1;
"ceilinged_unif";1;1;
"cel";1;1;
"cel_mar";1;1;
"cement";1;1;
"cementing_plac";1;1;
"centr";1;3;
"central_america";10;60;
"central_eastern";10;10;
"centre_remain";1;1;
"centre_romania";1;1;
"centre_widespread";1;1;
"centru";1;1;
"centru_civ";1;1;"0.0956077047468653"
"centuri";5;6;"0.02878078694539205"
"century_fertil";1;1;
"century_habsburg";1;1;
"century_moldavian";1;1;
"century_picturesqu";1;1;"0.0956077047468653"
"century_sit";1;1;
"century_wheel";1;1;
"certainli";1;1;
"cetatea";1;3;
"cetatea_poienari";1;3;
"chamber";1;1;
"chambers_l";1;1;
"chandeli";1;1;
"chandeliers_plan";1;1;
"chang";1;1;
"characterist";1;1;
"characteristics_narrow";1;1;
"chauvinist";1;1;
"chauvinist_unwittingli";1;1;
"check";10;20;
"checkconnect";10;20;
"checkconnection_tempcooki";10;20;
"checked_secur";10;20;
"chief";2;2;
"chief_citi";1;1;
"chief_scapegoat";1;1;
"china";1;1;
"china_lak";1;1;
"chose_depos";1;1;
"christian";1;1;
"christian_n";1;1;
"church";3;6;
"church_hierarch";1;1;
"church_nearbi";1;1;
"churches_build";1;1;
"churches_magnific";1;1;
"churches_monasteri";1;1;
"churches_prejm";1;1;
"circl";1;2;
"circle_attract";1;1;
"circles_overthrew";1;1;
"citadel";1;1;
"citadel_destroi";1;1;
"citi";5;17;
"city_";2;4;
"city_anonym";1;1;
"city_compar";1;1;
"city_domin";1;1;
"city_econom";1;1;
"city_found";1;1;
"city_hungarian";1;1;
"city_lik";1;1;
"city_piatra";1;1;
"city_popul";1;1;
"city_run";1;1;
"city_surround";1;1;
"city_tour";1;1;
"civic_centr";1;1;
"civic_main";1;1;"0.0956077047468653"
"civil_religi";1;1;
"claim";1;1;
"class";1;1;
"class_tens";1;1;
"clinch";1;1;
"clinched_unif";1;1;
"closed_c";1;1;
"closed_part";1;1;
"closed_univers";1;1;
"cluj";2;8;
"cluj_avoid";1;1;
"cluj_bas";1;1;
"cluj_becam";1;1;
"cluj_birthplac";1;1;
"cluj_easili";1;1;
"cluj_hungarian";1;1;
"cluj_napoca";1;1;
"cluj_romania";1;1;
"clutch";1;1;
"coast";2;6;
"coast_certainli";1;1;
"coast_dobrogea";2;2;
"coast_find";2;2;
"coast_romania";1;1;
"coastal";1;1;
"coastal_hot";1;1;
"cocktail";1;1;
"cocktail_commun";1;1;
"code";1;1;
"code_wherebi";1;1;
"coil";1;1;
"coiled_mount";1;1;
"coincid";1;1;
"coincided_moldavia";1;1;
"collag";1;1;
"collages_montag";1;1;
"collaps";1;1;
"collapse_l";1;1;
"collecting_report";10;10;
"coloni";1;1;
"colonies_pelican";1;1;
"coloss";1;1;
"colossal_palac";1;1;
"colour";1;1;
"comaneci";1;1;
"comaneci_marri";1;1;
"come_siberia";1;1;
"commonli";1;1;"0.0956077047468653"
"commonly_known";1;1;"0.0956077047468653"
"commun";2;3;
"communism_cluj";1;1;
"communism_million";1;1;
"communist";2;2;
"communist_parti";1;1;
"communist_regim";1;1;
"communities_healthi";1;1;
"compar";1;1;
"comparable_s";1;1;
"comparison";1;1;
"comparison_toi";1;1;
"compet";1;1;
"competed_win";1;1;
"competit";10;10;
"competitions_ebook";10;10;
"compulsori";1;1;
"compulsory_school";1;1;
"concret";1;1;"0.0956077047468653"
"concrete_monotoni";1;1;"0.0956077047468653"
"condit";10;11;
"conditions_mandatori";10;10;
"conditions_previ";1;1;
"confer";1;1;
"conferences_avail";1;1;
"connection_dracula";1;1;
"conscript";1;1;
"conscript_armi";1;1;
"consent";10;10;
"consent_stor";10;10;
"consid";1;1;
"consider_ceau?escu";1;1;
"constantinopl";1;1;
"constantinople_fen";1;1;
"constan?a";1;2;
"constan?a_indisput";1;1;
"constan?a_plac";1;1;
"constructed_glass";1;1;
"construction_civ";1;1;
