"word";"in documents";"total";"att_1"
"absorbing_m";1;1;
"access";10;11;
"access_km";1;1;
"access_secur";10;10;
"acclaim";1;1;
"acclaimed_skateboard";1;1;
"ad";10;10;
"addit";1;1;
"addition_superb";1;1;
"ads_relev";10;10;
"advertis";10;10;
"advertisers_gad";10;10;
"advic";10;10;
"advice_lausann";1;1;
"advice_rough";5;5;
"advice_ticino";1;1;
"aerial";10;10;
"aerial_view";10;10;
"ag";10;20;
"ag_bahnhofplatz";10;10;
"ag_right";10;10;
"agre";10;30;
"agreed_privaci";10;10;
"agreeing_giv";10;10;
"allowed_town";1;1;
"alp";3;3;
"alpin";1;1;
"alpina";10;10;
"alpine_sunris";1;1;
"alps_";1;1;
"alps_br";1;1;
"alps_sunni";1;1;
"america";10;60;
"america_caribbean";10;60;
"anonymously_market";10;10;
"apa";10;30;
"apa_digit";10;20;
"apa_group";10;10;
"approach";1;1;
"april";1;1;
"april_oct";1;1;
"architectur";2;2;
"architecture_attitud";1;1;
"architecture_hold";1;1;
"area";10;11;
"area_";1;1;
"areas_websit";10;10;
"armi";1;1;
"army_switzerland";1;1;
"art";1;1;
"articl";10;10;
"articles_galleri";10;10;
"attitud";1;1;
"attitude_driv";1;1;
"attractive_vibr";1;1;
"august_fam";1;1;
"august_jump";1;1;
"august_manag";1;1;
"auth";10;40;
"ba_unit";10;10;
"backpack";1;1;
"backpackers_fur";1;1;
"bahn_train";1;1;
"bahnhofplatz";10;10;
"bahnhofplatz_siebnen";10;10;
"balmi";1;1;
"balmy_lak";1;1;
"bank";2;4;
"bank_com";1;1;
"bank_km";1;1;
"bank_li";1;1;
"banks_turret";1;1;
"bar";1;1;"0.06682691780147322"
"bars_head";1;1;
"base";1;1;
"base_wint";1;1;
"basel";2;3;
"basel_beauti";1;1;
"basel_feel";1;1;
"basic_funct";10;10;
"beam";1;1;
"beams_replac";1;1;
"beat";10;20;
"beat_checkconnect";10;20;
"beauti";10;13;
"beautiful_countri";10;10;
"beautiful_countrysid";1;1;
"beautiful_lucern";1;1;
"beautiful_northern";1;1;
"bellinzona";1;1;
"bellinzona_superb";1;1;
"bern";1;1;
"bern_luzern";1;1;
"biggest_univers";1;1;
"bill";1;1;
"billing_fact";1;1;
"black_forest";1;1;
"bluff";1;1;
"bluffs_sid";1;1;
"boast";1;1;
"boasts_rat";1;1;
"boat";2;2;
"boat_servic";1;1;
"boats_maendli";1;1;
"bond";1;1;
"bond_film";1;1;
"book";10;30;
"book_rough";10;10;
"book_trip";10;10;
"books_featur";10;10;
"bottom";1;1;
"bourbaki";1;1;
"bourbaki_";1;1;
"branch";1;1;
"branch_lin";1;1;
"breadth";1;1;
"breadth_m";1;1;
"breathtak";2;2;
"breathtaking_alpin";1;1;
"breathtaking_view";1;1;
"bridg";2;2;
"bridge_fal";1;1;
"bridge_rebuilt";1;1;
"bring_sunglass";1;1;
"bring_trailhead";1;1;
"browser";10;20;
"browser_improv";10;10;
"browser_pleas";10;10;
"bu";3;3;
"budget";7;7;
"budget_lausann";1;1;
"budget_ticino";4;4;
"bunge";1;1;
"bungee_jump";1;1;
"bus_continu";1;1;
"bus_neuhausen";1;1;
"buse";1;1;
"buses_ferri";1;1;
"busi";2;2;
"business_l";1;1;
"busy_pilatusstrass";1;1;
"bâle";1;1;
"bâle_french";1;1;
"c";10;20;
"c_user";10;20;
"cabl";4;6;
"cable_car";4;6;
"café";1;1;"0.06682691780147322"
"capit";1;1;
"capital_europ";1;1;
"captiv";1;1;
"captivating_mountain";1;1;
"car";4;7;
"car_climb";2;2;
"car_rid";1;1;
"car_stat";1;1;
"car_terminu";1;1;
"caribbean";10;60;
"caribbean_centr";10;50;
"caribbean_explor";2;2;
"caribbean_find";5;5;"0.021210449751781844"
"caribbean_jungfrau";1;1;
"caribbean_rhin";1;1;
"caribbean_zermatt";1;1;
"cars_allow";1;1;
"cars_train";1;1;
"carv";1;1;
"carved_corkscrew";1;1;
"castl";3;4;
"castle_april";1;1;
"castle_geneva";1;1;
"castle_south";1;1;
"castles_unesco";1;1;
"catch";1;1;
"catch_sun";1;1;
"celebr";1;1;
"celebrating_centenari";1;1;
"centenari";1;1;
"centenary_trundl";1;1;
"centr";1;1;
"central_america";10;60;
"central_train";1;1;
"centred_riv";1;1;
"centuri";2;4;"0.02878078694539205"
"century_art";1;1;
"century_church";1;1;
"century_cov";1;1;
"century_paint";1;1;
"certainli";1;1;
"certainly_basel";1;1;
"ch";2;2;
"ch_begin";1;1;
"ch_scurri";1;1;
"chairlift";1;1;
"chairlift_whisk";1;1;
"chang";1;1;
"changes_progress";1;1;
"channel";1;1;
"channels_vallei";1;1;
"charm";1;1;
"charming_town";1;1;
"cheaper_off";1;1;
"check";10;20;
"checkconnect";10;20;
"checkconnection_tempcooki";10;20;
"checked_secur";10;20;
"chic_town";1;1;
"chill";1;1;
"chilled_bar";1;1;
"chillon";1;1;
"chillon_castl";1;1;
"chocol";1;1;
"chocolate_tobleron";1;1;
"church";2;3;
"church_impress";1;1;
"church_lak";1;1;
"church_tim";1;1;
"circular_mur";1;1;
"citi";3;6;
"city_";1;2;
"city_chil";1;1;
"city_diplomat";1;1;
"city_flow";1;1;
"city_gain";1;1;
"clad_socialit";1;1;
"class";2;2;
"class_film";1;1;
"class_quart";1;1;
"clean_eig";1;1;
"clear_dai";1;1;
"cleft";1;1;
"cleft_bluff";1;1;
"cliff";1;1;
"cliff_fac";1;1;
"climb";3;4;
"climb_tunnel";1;1;
"climb_vantag";1;1;
"climber";1;1;
"climbers_glaci";1;1;
"climbs_m";1;1;
"climbs_steepli";1;1;
"cloud";1;1;
"cloud_rainbow";1;1;
"cobbl";1;1;
"cobbled_anci";1;1;
"coil";1;1;
"coiling_mountain";1;1;
"col";1;1;
"col_jungfrau";1;1;
"collecting_report";10;10;
"com";1;1;
"com_europ";1;1;
"commemor";1;1;
"commerci";1;1;
"commercial_district";1;1;
"competit";10;10;
"competitions_ebook";10;10;
"comprehens";2;2;
"comprehensive_guid";2;2;
"compris";1;1;
"comprising_shor";1;1;
"concert";1;1;
"concert_hal";1;1;
"condit";10;10;
"conditions_mandatori";10;10;
"consent";10;10;
"consent_stor";10;10;
"contemporari";1;1;
"contemporary_architectur";1;1;
"continu";1;1;
"continues_km";1;1;
"contort";1;1;
"contortions_train";1;1;
"control";1;1;
"controlled_area";1;1;
"cooki";10;40;
"cookies_help";10;20;
"cookies_statist";10;10;
"cookies_track";10;10;
"cool_exquisit";1;1;
"copyright";10;10;
"copyright_apa";10;10;
"corkscrew";1;1;
"corkscrew_channel";1;1;
"countri";10;11;
"countries_world";10;10;
"country_compris";1;1;
"countrysid";1;1;
"countryside_overlook";1;1;
"cover";1;1;
"covered_wooden";1;1;
"crag";1;1;
"crag_";1;1;
"cream";1;1;
"creams_approach";1;1;
"crest";1;1;
"crests_m";1;1;
"cross";1;1;
"cross_europ";1;1;
"cruis";1;1;
"cruises_picturesqu";1;1;
"cultur";2;2;
"culture_food";1;1;
"cultured_energet";1;1;
"curv";1;1;
"curves_c";1;1;
"dai";4;6;
"dam_juli";1;1;
"daredevil";1;1;
"daredevil_boat";1;1;
"data";10;10;
"data_process";10;10;
"datr";10;20;
"datr_fr";10;20;
"dawn";1;1;
"dawn_breathtak";1;1;
"day_br";1;1;
"day_februari";1;1;
"day_halfwai";1;1;
"day_spectacular";1;1;
"day_train";1;1;
"day_trip";1;1;
"de_l";1;1;
"depicting_flight";1;1;
"depth";10;10;
"deselect";10;10;
"deselected_necessari";10;10;
"digit";10;20;
"digital_ag";10;20;
"diplomat";1;1;
"diplomats_big";1;1;
"direction_gleam";1;1;
"discount";10;11;
"discounts_competit";10;10;
"discounts_rout";1;1;
"displai";10;11;
"display_ad";10;10;
"display_summ";1;1;
"district";1;2;
"district_reach";1;1;
"districts_middl";1;1;
"dome";1;1;
"domed_church";1;1;
"domin";1;1;
"doused_waterfal";1;1;
"drama";1;1;
"drama_sprai";1;1;
"drench";1;1;
"drenched_cool";1;1;
"drew_byron";1;1;
"drive";1;1;
"driving_styl";1;1;
"drop";1;1;
"drops_vallei";1;1;
"dy";1;1;
"ebook_sign";10;10;
"electr";1;1;
"electric_bus";1;1;
"elysé";1;1;
"elysée_book";1;1;
"emerge_m";1;1;
"en_rout";1;1;
"enabl";10;10;
"end";2;3;
"end_cabl";1;1;
"end_road";1;1;
"end_zermatt";1;1;
"energet";1;1;
"energetic_town";1;1;
"engag";10;10;
"engaging_individu";10;10;
"enjoy_ch";1;1;
"entranc";1;1;
"entrance_st";1;1;
"europ";7;12;
"europe_";3;4;
"europe_budget";7;7;
"europe_furth";1;1;
"european";1;1;
"european_loc";1;1;
"excel";2;2;
"excellent_bas";1;1;
"excellent_boat";1;1;
"excurs";1;1;
"experi";10;10;
"experience_centr";10;10;
"expert";10;10;
"expert_advic";10;10;
"explor";10;10;
"explore_book";8;8;
"explore_find";2;2;
"exquisit";1;1;
"exquisitely_groom";1;1;
"ext";10;20;
"ext_ref";10;20;
"extern";10;20;
"external_refer";10;20;
"extrem";1;1;
"extremely_pricei";1;1;
"face";2;2;
"face_commemor";1;1;
"facing_terrac";1;1;
"facsimil";1;1;
"facsimiles_northeast";1;1;
"fact";1;1;
"fact_quick";1;1;
"fall";1;4;
"falls_mürren";1;1;
"falls_tak";1;1;
"falls_travel";1;1;
"famou";4;5;
"famous_firework";1;1;
"famous_spiral";1;1;
"famous_summ";1;1;
"famous_switzerland";1;1;
"fasnacht";1;1;
"fasnacht_ch";1;1;
"fb";10;40;
"fb_gate";10;20;
"fb_ref";10;20;
"featur";10;20;
"features_";1;1;
"features_attract";1;1;
"features_branch";1;1;
"features_french";1;1;
"features_great";1;1;
"features_hour";1;1;
"features_latest";10;10;
"features_m";1;1;
"features_nam";1;1;
"features_rhin";1;1;
"features_tessin";1;1;
"februari";1;1;
"february_fasnacht";1;1;
"fed_glaci";1;1;
"feel";1;1;
"feels_work";1;1;
"fenlioq";1;1;
"fenlioq_shutterstock";1;1;
"ferri";1;1;
"ferry_peopl";1;1;
"fill";10;10;
"filled_expert";10;10;
"film";1;2;
"film_bunge";1;1;
"film_festiv";1;1;
"finally_top";1;1;
"find_book";2;2;
"find_explor";8;8;
"fire";1;1;
"fire_seventeenth";1;1;
"firework";1;1;
"fireworks_displai";1;1;
"fish";1;1;
"fishing_villag";1;1;
"flank";2;2;
"flank_mountain";1;1;
"flanked_renaiss";1;1;
"flight";1;1;
"flight_gener";1;1;
"flora";1;1;
"flora_enjoi";1;1;
"flow";1;1;
"flowing_east";1;1;
"food";1;1;
"food_architectur";1;1;
"foothil";1;1;
"foothills_alp";1;1;
"forest";2;2;
"forest_direct";1;1;
"forested_bank";1;1;
"forget_hurri";1;1;
"former_fish";1;1;
"fountain";1;1;
"fountained_squar";1;1;
"fr";10;20;
"fr_highcontrast";10;20;
"fragrant";1;1;
"fragrant_pin";1;1;
"franc";2;2;
"france_germani";1;1;
"france_reason";1;1;
"franco";1;1;
"franco_prussian";1;1;
"françoi";1;2;
"françois_drop";1;1;
"françois_ru";1;1;
"freethink";1;1;
"freethinkers_cross";1;1;
"french";4;5;
"french_alp";1;1;
"french_log";1;1;
"french_occupi";1;1;
"french_revolutionari";1;1;
"french_speak";1;1;
"fun";1;1;
"fun_citi";1;1;
"function";10;20;
"function_properli";10;10;
"functions_pag";10;10;
"funicular_west";1;1;
"fur";1;1;
"fur_clad";1;1;
"further_east";1;1;
"further_restaur";1;1;
"für";1;1;
"für_gegenwartskunst";1;1;
"gad";10;20;
"gads_pisid";10;20;
"gain";1;1;
"gained_reput";1;1;
"galleri";10;11;
"galleries_addit";1;1;
"galleries_quizz";10;10;
"galx";10;20;
"galx_gap";10;20;
"gap";10;20;
"gaps_googleaccountslocal";10;20;
"gate";10;20;
"gate_reg";10;20;
"gegenwartskunst";1;1;
"gegenwartskunst_book";1;1;
"gener";1;1;
"general_bourbaki";1;1;
"geneva";10;15;
"geneva_breathtak";1;1;
"geneva_lak";1;1;
"geneva_old";1;1;
"geneva_rough";10;11;
"geneva_travel";1;1;
"gentli";1;1;
