"word";"in documents";"total";"att_1"
"aboa";1;1;
"access";10;13;
"ad";10;10;
"adjoin";1;1;
"adventur";10;12;
"advertis";10;10;
"advic";10;10;
"ag";10;20;
"agre";10;30;
"aleksanterinkatu";2;2;
"algarv";1;1;
"aliv";1;1;
"america";10;60;
"anachronist";1;1;
"apa";10;30;
"april";2;3;
"ar";1;1;
"architectur";1;1;
"arctic";2;3;
"ardenn";1;1;
"area";10;12;
"arson";1;1;
"articl";10;10;
"atmospher";2;2;
"attack";1;1;
"audio";1;1;
"aug";7;9;
"auth";10;40;
"bahnhofplatz";10;10;
"bai";1;1;
"barcelona";1;1;
"base";2;2;
"beach";1;1;
"bear";10;10;
"beat";10;20;
"beauti";10;10;
"belfast";1;1;
"berlin";1;1;
"bland";1;1;
"block";2;2;
"boast";1;1;
"book";10;61;
"boulevard";1;1;
"branch";1;1;
"bridg";1;1;
"brightli";1;1;
"brittani";1;1;
"browser";10;20;
"brush";10;10;
"bu";2;2;
"budget";10;11;
"buffet";1;1;
"bulki";1;1;
"buse";1;1;
"bustl";1;1;
"c";10;20;
"cabin";1;1;
"café";1;1;"0.06682691780147322"
"canal";1;1;
"capit";1;1;
"caribbean";10;60;
"castl";1;1;
"cathedr";2;2;
"ceil";1;1;
"centr";2;2;
"centuri";1;1;"0.02878078694539205"
"champagn";1;1;
"charact";1;1;
"charm";2;2;
"check";10;21;
"checkconnect";10;20;
"children";1;1;
"christma";1;1;
"chunk";1;1;
"circumpolar";1;1;
"citi";2;3;
"coast";3;3;
"cobbl";1;1;
"comfort";10;10;
"commerci";1;1;
"compani";1;1;
"competit";10;10;
"comprehens";1;1;
"condit";10;11;
"consent";10;10;
"cooki";10;40;
"copper";1;1;
"copyright";10;10;
"corsica";1;1;
"countri";10;10;
"countrysid";1;1;
"coupl";1;1;
"cover";1;1;
"criss";1;1;
"cross";1;1;
"crown";1;1;
"cry";1;1;
"cultur";2;2;
"cycl";1;1;
"czech";1;1;
"dai";3;3;
"daili";6;10;
"data";10;10;
"datr";10;20;
"dec";1;2;
"decor";1;2;
"dens";2;2;
"depart";1;1;
"depth";10;10;
"deselect";10;10;
"devot";1;1;
"dictionari";1;1;
"digit";10;20;
"dinner";1;1;
"disappoint";1;1;
"discount";10;10;
"displai";10;10;
"district";1;1;
"dome";1;1;
"domin";1;1;
"dordogn";1;1;
"draw";1;1;
"dream";10;10;
"dublin";1;1;
"easili";1;1;
"eleg";1;1;
"enabl";10;10;
"end";2;2;
"engag";10;10;
"england";1;1;
"entranc";1;1;
"enviabl";1;1;
"europ";10;11;
"exampl";1;1;
"excel";1;1;
"excurs";2;2;
"exhaust";10;10;
"exhibit";3;4;
"experi";10;11;
"experienc";10;10;
"expert";10;30;
"explor";10;13;
"exquisit";1;1;
"ext";10;20;
"exterior";1;1;
"extern";10;20;
"fabul";1;1;
"fairli";1;1;
"fame";1;1;
"famou";2;2;
"father";1;1;
"fb";10;40;
"featur";10;20;
"ferri";1;1;
"fill";10;10;
"fine";1;1;
"finnish";5;9;
"flank";1;1;
"float";1;1;
"flora";1;1;
"forest";2;3;
"form";1;1;
"fr";10;20;
"franc";2;2;
"fri";2;3;
"fun";2;2;
"function";10;20;
"fur";1;1;
"gad";10;20;
"galleri";10;11;
"galx";10;20;
"gap";10;20;
"gate";10;20;
"gatewai";1;1;
"gear";1;1;
"geometri";1;1;
"germani";1;1;
"glass";1;1;
"gloomili";1;1;
"group";10;10;
"guest";10;20;
"guid";10;118;
"half";1;1;
"headquart";10;10;
"help";10;30;
"helsinki";2;4;
"hietasaari";1;1;
"hike";1;1;
"hill";1;1;
"hold";1;1;
"holi";1;1;
"hotel";1;1;
"hourli";2;3;
"hr";1;1;
"hsid";10;20;
"huski";1;1;
"illustr";1;1;
"improv";10;10;
"inari";2;3;
"inarijärvi";1;1;
"individu";10;10;
"indoor";1;1;
"industri";2;3;
"inlet";1;1;
"insight";1;1;
"inspir";10;20;
"intent";10;10;
"interact";10;11;
"interior";1;2;
"interspers";1;1;
"isl";1;1;
"island";4;6;
"jan";1;4;
"june";6;8;
"k";10;20;
"kent";1;1;
"kid";1;1;
"kingdom";10;10;
"km";6;6;
"laidback";1;1;
"lake";3;6;
"lakeshor";1;1;
"lakesid";1;1;
"landmass";1;1;
"lang";10;20;
"lapland";2;4;
"level";10;10;
"li";2;2;
"life";3;3;
"light";10;10;
"line";1;1;
"link";1;1;
"ll";1;1;
"locat";2;2;
"log";1;2;
"logist";10;10;
"lot";1;1;
"love";10;11;
"lover";1;1;
"lsid";10;20;
"lsosid";10;20;
"lumberjack";1;1;
"lutheran";1;1;
"lyric";1;1;
"m";1;1;
"mannerheimkatu";1;1;
"map";1;1;
"mark";1;1;
"market";10;10;
"massiv";1;1;
"mediev";1;1;
"mesmer";1;1;
"microcosm";1;1;
"middl";1;1;
"midnight";1;2;
"militari";1;1;
"mill";10;10;
"misdumm";1;1;
"mishmash";1;1;
"mon";2;6;
"museum";5;5;
"naantali";1;1;
"nation";10;11;
"navig";10;10;
"necessari";10;10;
"neoclass";1;1;
"network";1;1;
"newslett";10;10;
"nid";10;20;
"night";1;1;
"nightlif";1;1;
"noon";2;3;
"norfolk";1;1;
"north";4;7;
"nov";1;2;
"nova";1;1;
"oct";2;2;
"offer";1;1;"0.0499912366971739"
"offic";1;1;
"opera";1;1;
"opportun";1;1;
"organ";2;2;
"origin";10;20;
"outfit";1;1;
"owner";10;10;
"pace";1;1;
"pack";10;10;
"page";10;10;
"paint";1;1;
"park";10;11;
"part";2;2;"0.06682691780147322"
"parti";10;10;
"partner";10;20;
"paus";1;1;
"peac";1;1;
"person";10;21;
"photograph";1;1;
"phrasebook";1;1;
"pick";1;1;
"picnic";1;1;
"pictur";10;10;
"pine";1;1;
"pisid";10;20;
"place";10;13;
"plan";10;30;
"plaudit";1;1;
"pleas";10;10;
"pm";5;27;
"podcast";10;10;
"poem";1;1;
"poet";1;1;
"pohjoisranta";1;1;
"poland";2;2;
"polici";10;10;
"portug";1;1;
"porvoo";1;2;
"pref";10;20;
"prepar";1;1;
"preserv";1;1;
"pretti";1;1;
"privaci";10;10;
"privat";1;1;
"process";10;20;
"properli";10;10;
"properti";1;1;
"puls";1;1;
"punkaharju";1;1;
"purchas";10;10;
"qualiti";1;1;
"quintessenti";1;1;
"quizz";10;10;
"ref";10;40;
"refurbish";1;1;
"reg";10;60;
"region";4;8;
"relat";10;10;
"relev";10;10;
"rememb";10;20;
"remot";1;1;
"renown";1;1;
"report";10;10;
"republ";1;1;
"reserv";10;10;
"restaur";3;3;"0.06682691780147322"
"return";2;3;
"rhine";1;1;
"ride";2;2;
"ridg";2;2;
"right";10;10;
"rivet";1;1;
"riviera";1;1;
"rmme";10;20;
"road";1;1;
"romania";1;1;
"rovaniemi";2;3;
"run";1;1;"0.06682691780147322"
"russian";1;1;
"sapisid";10;20;
"sauna";1;3;
"savonlinna";1;1;
"se";10;10;
"search";10;10;
"section";2;3;
"secur";10;30;
"senat";1;2;
"sens";1;1;
"sensibl";1;1;
"sept";6;10;
"seriou";1;1;
"sess";10;20;
"session";10;60;
"shop";1;1;
"shoulder";10;10;
"show";1;1;
"sid";10;20;
"side";2;2;
"siebnen";10;10;
"sign";10;30;
"signpost";1;1;
"site";10;11;
"sizeabl";1;1;
"slovenia";1;1;
"snapshot";8;9;
"southeast";1;1;
"spartan";1;1;
"squar";1;2;
"ssid";10;20;
"station";3;3;
"statist";10;10;
"stimul";10;10;
"stop";1;1;
"store";10;10;
"street";10;12;
"stretch";1;1;
"stucco";1;1;
"stun";1;1;
"suav";1;1;
"suffolk";1;1;
"summer";2;2;
"sun";6;11;
"suomenlinna";1;1;
"surround";3;3;
"surviv";2;2;
"sussex";1;1;
"switzerland";10;10;
"sámi";3;5;
"tailor";10;10;
"tempcooki";10;20;
"tepe";1;1;
"term";10;10;
"theme";1;1;
"thing";2;2;
"thur";1;1;
"ticket";1;1;
"token";10;40;
"tourist";1;1;
"tout";1;1;
"town";5;7;
"track";10;20;
"trademark";10;10;
"tradit";1;1;
"trail";3;3;
"train";2;3;
"tramlin";1;1;
"travel";10;59;
"tree";1;1;
"trip";10;30;
"truli";10;11;
"trust";10;10;
"tue";5;5;
"tunnel";1;1;
"twid";10;20;
"twll";10;20;
"unit";10;10;
"univers";1;1;
"upgrad";10;10;
"usabl";10;10;
"user";10;30;
"utmv";10;20;
"vallisaari";1;1;
"valuabl";10;10;
"verdant";1;1;
"video";10;10;
"villag";1;2;
"visibl";1;1;
"visit";1;1;
"visitor";10;20;
"vote";10;10;
"walk";1;1;
"water";1;1;
"wd";10;20;
"weather";1;1;
"websit";10;60;
"week";1;1;
"weekli";10;20;
"west";3;4;
"wilder";1;1;
"wonder";2;2;
"wood";1;1;
"woodsmok";1;1;
"work";10;10;
"world";10;10;
"worth";1;1;
"xs";10;20;
"year";5;5;"0.0499912366971739"
