"word";"in documents";"total";"att_1"
"abbei";1;1;
"absenc";1;1;
"access";10;12;
"accommod";1;1;
"accompani";2;2;
"act";1;1;
"activ";1;1;
"ad";10;10;
"address";2;2;
"administr";1;3;
"adorn";1;1;
"advanc";1;1;
"advantag";1;1;
"adventur";10;10;
"advertis";10;10;
"advic";10;10;
"afar";1;1;
"affair";2;2;
"affili";1;1;
"affin";1;1;
"afield";1;1;
"ag";10;21;
"agre";10;30;
"agricultur";1;1;
"aix";1;1;
"alcohol";1;1;
"aliv";1;2;
"alli";2;2;
"alp";2;3;
"alsac";3;8;
"alt";1;1;
"amaz";2;2;
"ambiti";1;1;
"america";10;60;
"amount";1;1;
"amplifi";1;1;
"anchor";1;1;
"anchovi";1;1;
"ang";1;1;
"announc";1;2;
"apa";10;30;
"aperitif";1;1;
"appeal";1;1;
"appealingli";1;1;
"appreci";1;1;
"appropri";1;1;
"approxim";1;1;
"apricot";1;1;
"arc";1;2;
"arch";1;1;
"archeolog";1;1;
"architectur";3;6;
"ardenn";2;2;
"area";10;15;
"arid";1;1;
"aristocrat";2;2;
"arm";1;2;
"armi";2;5;
"aromat";1;1;
"arriv";1;1;
"arrog";1;1;
"art";2;8;
"arthurian";1;1;
"articl";10;10;
"artist";3;6;
"ascent";1;1;
"assassin";1;2;
"assembl";1;1;
"assunta";1;1;
"atlant";7;12;
"atmospher";1;1;
"attack";2;4;
"attila";1;1;
"aubergin";1;1;
"audio";2;2;
"auth";10;40;
"awesom";1;1;
"azur";5;8;
"backdrop";1;1;
"bagad";1;1;
"bahnhofplatz";10;10;
"bai";1;1;
"baie";1;1;
"bank";2;5;
"bankrol";1;1;
"banlieu";1;1;
"banon";1;1;
"bar";1;1;"0.06682691780147322"
"barb";1;1;
"baron";1;1;
"baroqu";2;2;
"barricad";1;1;
"base";1;1;
"basil";1;1;
"basqu";1;3;
"bass";1;1;
"bastia";1;1;
"bastil";1;1;
"bath";1;1;
"battl";2;7;
"battlefield";1;1;
"baux";1;2;
"bayeux";1;1;
"bc";1;1;
"beach";4;7;
"beachcomb";1;1;
"bear";1;1;
"beat";10;20;
"beauti";3;4;
"beer";1;1;
"belgium";1;1;
"belt";1;1;
"bequeath";1;1;
"berg";1;1;
"birthplac";1;1;
"bit";1;1;
"block";3;3;
"bloodi";3;5;
"blossom";1;1;
"boast";3;3;
"boat";1;1;
