"word";"in documents";"total";"att_1"
"accent";1;1;
"access";10;10;
"act";1;1;
"activ";1;1;
"ad";10;14;
"adenau";1;1;
"adventur";10;12;
"advertis";10;10;
"advic";10;10;
"affili";1;1;
"affirm";1;1;
"ag";10;24;
"agre";10;30;
"agricultur";2;2;
"agrippina";1;1;
"air";1;1;
"airport";1;1;
"alaska";1;1;
"alfresco";1;1;
"alli";1;1;
"alp";3;3;
"alster";1;1;
"alt";1;1;
"altern";1;1;
"altstadt";1;1;
"ambit";1;2;
"america";10;60;
"amsterdam";2;2;
"amus";1;1;
"apa";10;30;
"appar";1;1;
"appeal";1;1;
"approach";1;1;
"april";1;1;
"archbishop";1;1;
"archeolog";1;1;
"archetyp";1;1;
"architect";1;1;
"architectur";2;3;
"area";10;12;
"armi";1;1;
"art";4;4;
"articl";10;10;
"artist";3;3;
"assum";1;1;
"audio";3;3;
"augsburg";1;1;
"austria";1;1;
"auth";10;40;
"author";1;2;
"autobahn";1;1;
"autumn";2;2;
"averag";1;1;
"backdrop";1;1;
"bahnhofplatz";10;10;
"balmi";1;1;
"bank";3;3;
"bar";4;5;"0.06682691780147322"
"barbarossa";1;1;
"barrel";1;1;
"base";1;1;
"bask";1;1;
"bath";1;1;
"batter";1;1;
"bauhau";1;1;
"bavaria";7;8;
"beach";1;1;
"bear";1;1;
"beat";10;21;
"beater";1;1;
"beauti";1;1;
"beer";2;3;
"benefit";1;1;
"benz";1;1;
"bereft";1;1;
"berlin";10;40;
"bike";1;1;
"biospher";1;1;
"bird";1;1;
"birth";1;1;
"birthplac";1;1;
"blanket";1;1;
"blauer";1;1;
"blossom";1;1;
"blow";1;1;
"bmw";1;1;
"bodense";1;2;
"bodi";1;1;
"bodyguard";1;1;
"bohemian";1;1;
"bomb";3;3;
"book";10;63;
"boom";1;1;
"boost";1;1;
"border";2;2;
"botan";1;1;
"boulevard";1;1;
"bourgeoi";1;1;
"brand";1;1;
"brandenburg";1;5;
"break";1;1;
"breath";2;2;
"bridg";1;1;
"brief";4;4;
"briefcas";1;1;
"british";1;1;
"broadcast";1;1;
"brood";1;1;
"browser";10;20;
"bu";1;1;
"bucol";1;1;
"budget";4;4;
"busi";2;3;
"böll";1;1;
"c";10;21;
"café";1;1;"0.06682691780147322"
"camera";1;1;
"canal";1;1;
"canni";1;1;
"capit";4;7;
"captiv";1;1;
"captur";1;1;
"car";3;4;
"caribbean";10;60;
"carri";1;1;
"castl";1;2;
"catch";2;2;
"cathol";1;1;
"caus";1;1;
"celebr";2;3;
"centr";5;10;
"centuri";5;13;"0.02878078694539205"
"certainli";1;1;
"chancellor";1;1;
"chang";3;4;
"changeabl";1;1;
"chao";1;1;
"character";1;1;
"charm";3;3;
"charmingli";1;1;
"check";10;20;
"checkconnect";10;20;
"chip";1;1;
"choic";1;1;
"christma";1;1;
"church";1;1;
