"word";"in documents";"total";"att_1"
"abidingli";1;1;
"abl";2;2;
"abod";1;1;
"absolut";1;1;
"abund";1;1;
"academ";1;1;
"academi";1;1;
"acceler";1;1;
"accident";1;1;
"accommod";4;6;
"accompani";4;4;
"accord";2;4;
"account";2;2;
"accur";1;1;
"accuraci";1;1;
"achaia";1;1;
"acquaint";2;3;
"acquir";1;1;
"acquisit";1;1;
"acr";1;1;
"acropoli";5;29;
"acropolis";1;1;
"act";3;5;
"action";1;1;
"actium";1;1;
"activ";2;3;
"addict";2;2;
"addit";2;2;
"address";1;2;
"adhrianoú";1;2;
"adjac";4;8;
"adjoin";2;2;
"adjunct";1;1;
"administr";1;1;
"admir";5;6;
"admiss";2;2;
"admittedli";1;1;
"adolesc";1;2;
"ador";1;1;
"adorn";1;2;
"adrenalin";1;1;
"adriat";1;1;
"advanc";3;6;
"advantag";2;2;
"adversari";1;1;
"advis";1;1;
"aega";1;6;
"aegean";6;15;
"aegina";1;2;
"aegisthu";1;3;
"aesop";1;1;
"afendikó";1;1;
"affair";1;3;
"afield";1;2;
"afternoon";2;3;
"agamemnon";3;15;
"agent";1;1;
"aggress";1;1;
"agio";1;1;
"agog";1;1;
"agora";1;4;
"agricultur";4;5;
"ahíllio";1;5;
"aid";1;1;
"aim";1;1;
"air";3;9;
"aircraft";1;1;
"airi";1;1;
"aisl";2;2;
"akrotíri";1;1;
"akrópoli";1;1;
"albania";1;2;
"alcohol";1;1;
"alexandhroúpoli";1;6;
"alien";1;1;
"aliv";2;3;
"alli";2;3;
"allianc";1;2;
"alpin";1;1;
"altar";1;1;
"altern";2;3;
"altitud";1;2;
"amalía";1;1;
"amari";1;1;
"amazon";1;1;
"ambelókipi";1;2;
"ambiti";1;1;
"ammo";1;1;
"ammunit";1;1;
"amorgó";1;1;
"amount";2;2;
"amphipoli";1;1;
"amphitheatr";1;1;
"ampli";1;1;
"amári";1;2;
"analysi";1;1;
"anania";1;1;
"anarchist";1;1;
"anaryiri";1;1;
"anchor";1;1;
"anchorag";1;1;
"andron";1;1;
"androniko";2;6;
"angl";1;1;
"angístri";1;3;
"anim";3;3;
"annihil";1;1;
"anniversari";1;1;
