"word";"in documents";"total";"att_1"
"abbei";4;6;
"abhor";1;1;
"abil";1;1;
"abl";2;2;
"abolit";1;1;
"abort";1;1;
"absente";1;1;
"absolut";1;1;
"absolutgaytheatr";1;1;
"abund";1;1;
"abus";1;1;
"ac";1;1;
"academ";1;1;
"accent";1;1;
"accentu";1;1;
"acclaim";2;2;
"accommod";5;12;
"accompani";3;3;
"accord";2;3;
"account";2;4;
"accuraci";1;1;
"acetylen";1;1;
"acquaint";1;1;
"acquir";2;2;
"acquisit";1;1;
"acr";2;2;
"act";3;7;
"action";3;3;
"activ";4;8;
"activist";1;1;
"actor";1;1;
"adam";1;1;
"addit";1;2;
"address";2;3;
"adequ";1;1;
"adjac";2;4;
"adjoin";1;1;
"administr";1;1;
"admiss";2;2;
"adorn";2;2;
"advanc";3;4;
"advantag";1;1;
"advis";3;3;
"ae";1;1;
"aengu";1;1;
"aerial";1;1;
"affair";2;5;
"afield";2;2;
"africa";2;2;
"aftermath";1;1;
"afternoon";3;5;
"agenc";1;1;
"agit";1;1;
"agreeabl";2;2;"0.0956077047468653"
"agreement";1;1;
"aid";1;1;
"aim";4;7;
"air";4;7;
"airgead";1;1;
"airi";1;1;
"aisl";1;1;
"al";1;2;
"alcohol";1;1;
"alder";1;1;
"alessandro";1;1;
"allegedli";1;1;
"allegi";1;1;
"alli";2;2;
"allit";1;1;
"alloc";1;1;
"allur";3;3;
"alpin";1;1;
"altern";5;9;
"altruist";1;1;
"amalgam";1;1;
"amaz";1;1;
"amazingli";1;1;
"ambienc";2;2;
"ambiti";3;4;
"ambival";1;1;
"amen";1;1;
"american";1;1;
"ampl";1;1;
"amus";2;2;
"ancestr";1;1;
"andersonstown";1;3;
"angl";1;1;
"anglic";1;1;
"anglican";2;5;
"anglo";6;12;
"angri";1;1;
"anim";2;2;
"anniversari";1;2;
"answer";1;1;
"antholog";1;1;
"anti";1;1;
"antrim";2;18;
"appar";3;6;
"appeal";1;1;
"appl";2;3;
"appli";1;1;
"apposit";1;1;
