"word";"in documents";"total";"att_1"
"abbazia";1;3;
"abbei";1;3;
"abbot";1;1;
"abl";2;6;
"abund";1;1;
"abus";1;1;
"ac";1;6;
"accademia";2;10;
"acceler";1;2;
"accentu";1;1;
"accident";1;1;
"accommod";4;14;
"accompani";2;2;
"accord";2;3;
"accordingli";1;2;
"account";3;3;
"accur";1;1;
"accuraci";1;1;
"acqua";1;1;
"acquir";1;2;
"acr";1;1;
"acreid";1;1;
"acropoli";1;1;
"act";4;4;
"action";1;1;
"activ";6;11;
"acut";1;1;
"addit";1;1;
"adequ";1;1;
"adig";1;2;
"adjac";3;3;
"admiss";1;1;
"adoni";1;1;
"ador";1;5;
"adorn";1;1;
"adriat";2;2;
"advanc";3;7;
"advantag";2;2;
"advis";4;7;
"aerial";1;1;
"affair";4;6;
"affection";1;1;
"affili";1;1;
"aficionado";1;1;
"africa";2;3;
"afternoon";3;3;
"agenc";2;3;
"agent";1;1;
"aggiu";1;3;
"agit";1;1;
"agoni";1;1;
"agricultur";2;3;
"agriturismi";2;2;
"agriturismo";3;3;
"agriturist";1;1;
"aid";1;1;
"aig";1;3;
"ail";1;1;
"aim";2;2;
"air";3;11;
"airbnb";1;1;
"airi";1;1;
"airlin";1;3;
"airport";3;13;
"airwai";1;1;
"aisl";3;3;
"akraga";1;2;
"al";2;2;
"alabast";1;5;
"albanesi";1;1;
"alberti";1;1;
"alchemi";1;1;
"alcohol";1;3;
"alert";1;1;
"alessandro";1;1;
"alexandria";1;1;
"alghero";1;15;
"alimentari";1;1;
"alitalia";2;3;
"aliv";1;1;
"allegi";1;1;
"allegori";1;2;
"allergi";1;1;
"alli";1;1;
"alloc";1;1;
"allur";1;1;
"alp";2;2;
"alpino";1;1;
"alta";1;1;
"altar";1;1;
"altarpiec";2;3;
"altern";4;9;
"alto";1;2;
"amalfi";2;2;
"amara";1;1;
"amaz";1;1;
"amazingli";1;1;
"ambienc";1;1;
"ambigu";1;1;
"ambiti";1;1;
"ambival";1;1;
"ambrogio";2;5;
"ambros";1;1;
"amphitheatr";1;1;
"ampli";1;1;
"anaem";1;1;
"anatom";1;1;
"anchovi";1;1;
"ando";1;1;
"angel";1;2;
"angelico";1;2;
"anglo";1;1;
"anim";1;1;
"ankl";1;1;
"announc";1;1;
"annunci";1;5;
"anti";1;1;
"antidot";1;1;
"antin";1;1;
"antioco";1;3;
"antipasti";2;2;
"antonio";3;3;
"aosta";2;2;
"apel";1;1;
"aperitivo";1;1;
"aperol";1;1;
"aplenti";1;1;
"apostolo";1;1;
"appar";2;2;
"apparit";1;1;
"appeal";3;6;
"appet";1;1;
"appli";2;2;
"appreci";2;2;
"approach";4;5;
"appropri";1;1;
"approxim";1;1;
"april";4;6;
"aps";1;1;
"aptli";2;2;
"aquamarin";1;1;
"aqueduct";1;1;
"arab";1;4;
"aragon";1;1;
"aragones";1;2;
"arbatax";1;1;
"arborea";1;3;
"arc";1;1;
"arch";2;2;
"archaeolog";2;5;
"archeolog";1;1;
"archeologico";3;4;
"archeologist";1;1;
"architect";5;8;
"architectur";5;15;
"arena";1;2;
"arezzo";1;7;
"argentario";1;1;
"aristocrat";1;1;
"aritzo";1;1;
"armchair";1;1;
"armerina";1;2;
"armi";2;2;
"arno";2;4;
"arnolfo";1;1;
"arrai";2;4;
"arrest";1;1;
"arriv";4;6;
"arsenal";1;1;
"arst";1;2;
"art";6;31;
"artefact";1;1;
"artemisia";1;1;
"arteri";1;1;
"arti";1;1;
"artichok";1;1;
"artisan";2;2;
"artist";6;13;
"arzachena";1;1;
"ascend";1;1;
"ascens";1;1;
"ascent";2;3;
"ash";1;4;
"asolo";1;1;
"asparagu";1;1;
"aspect";2;2;
"asphyxi";1;1;
"assail";1;1;
"assassin";1;1;
"assembl";1;1;
"associ";4;4;
"associazion";1;1;
"assum";1;1;
"assumpt";1;1;
"ast";1;1;
"astronom";1;1;
"atmospher";5;12;
"attack";3;3;
"attempt";3;4;
"attent";2;2;
"attila";1;1;
"audio";3;3;
"aug";2;2;
"augustin";2;3;
"australia";1;2;
"austria";1;1;
"austrian";3;5;
"authent";3;5;
"author";2;2;
"autoline";1;1;
"automobil";1;1;
"autostrada";1;1;
"autumn";4;4;
"avail";3;25;
"avalanch";1;1;
"avenu";1;1;
"averag";1;2;
"averna";1;1;
"awar";1;1;
"award";1;1;
"awash";1;1;
"axi";1;1;
"b";2;18;
"babe";1;1;
"backdrop";2;3;
"background";2;3;
"backpack";1;1;
"badger";1;1;
"badli";1;1;
"bagno";1;2;
"bai";2;4;
"bakeri";1;1;
"baksheev";1;1;
"balanc";1;1;
"baldacchino";1;1;
"baldassar";1;1;
"balkhovitin";1;1;
"ball";1;1;
"ban";2;2;
"banauk";1;1;
"banco";1;1;
"bang";1;1;
"bank";6;11;
"banker";2;2;
"baptism";1;1;
"baptistri";1;3;
"baptiz";1;1;
"bar";4;20;"0.06682691780147322"
"barbagia";1;4;
"barbar";1;1;
"barbara";1;1;
"barbaria";1;1;
"barbarian";1;1;
"barcelonetta";1;1;
"bardolino";1;1;
"bareback";1;1;
"bargain";3;4;
"bargello";1;2;
"baroqu";3;15;
"barrel";1;1;
"barrier";1;3;
"bartholomew";1;1;
"bartolomeo";1;2;
"base";7;18;
"basi";1;1;
"basilica";4;17;
"basketwork";1;1;
"bass";1;1;
"bassano";1;1;
"batch";1;1;
"bath";3;3;
"bathroom";2;3;
"battista";1;1;
"battistero";1;1;
"battisti";1;1;
"battl";1;2;
"baunei";1;1;
"bazzi";1;1;
"bc";3;6;
"beach";3;38;
"beam";1;1;
"bean";2;3;
"bear";3;3;
"beast";1;1;
"beautifulli";2;2;
"bed";5;9;
"bedroom";1;1;
"beer";2;5;
"befit";1;1;
"beguil";2;2;
"bejewel";1;1;
"believ";3;3;
"bellini";1;1;
"belluno";1;1;
"benaco";1;1;
"benedict";1;1;
"benedictin";1;1;
"benefit";1;1;
"berlusconi";1;2;
"bernardo";1;2;
"bernini";1;3;
"berretta";1;1;
"berri";1;1;
"berth";1;1;
"betrai";1;1;
"bianco";1;1;
"biblioteca";1;1;
"bicci";1;1;
"biennal";1;1;
"bijou";1;1;
"bike";3;4;
"bill";1;1;
"billet";1;1;
"birgi";1;1;
"birra";1;3;
"birth";1;1;
"birthplac";1;2;
"biscuit";2;2;
"bisect";1;1;
"bishop";3;3;
"bit";1;1;
"bizarr";1;1;
"blacker";1;1;
"blast";1;1;
"blend";2;2;
"block";5;6;
"blood";2;2;
"bloodi";1;1;
"bloom";1;1;
"blossom";2;2;
"blow";2;3;
"blusteri";1;1;
"board";2;2;
"boast";4;5;
"boat";3;10;
"bodi";2;2;
"boil";1;1;
"boister";1;1;
"bologna";4;4;
"bolognes";1;1;
"bomb";3;7;
"bombast";2;2;
"bombsit";1;1;
"bone";1;2;
"bonfir";1;1;
"bookshop";1;1;
"boom";2;2;
"booti";1;1;
"border";2;2;
"borromeo";1;2;
"bosa";1;6;
"botticelli";2;8;
"bottl";1;5;
"bottom";1;1;
"boulder";1;1;
"boulevard";1;1;
"bourgeoi";1;1;
"bramant";1;4;
"brancacci";1;2;
