"word";"in documents";"total";"att_1"
"abil";1;1;
"absenc";1;1;
"access";10;11;
"accommod";1;1;
"account";1;1;
"ad";10;10;
"adventur";10;10;
"advertis";10;10;
"advic";10;10;
"ag";10;20;
"agre";10;30;
"america";10;60;
"anti";1;1;
"apa";10;30;
"april";2;2;
"architectur";1;1;
"archwai";1;1;
"area";10;10;
"arriv";1;1;
"art";3;4;
"arti";2;2;
"articl";10;10;
"aspect";1;1;
"assembl";1;1;
"atmospher";1;1;
"audio";1;1;
"aug";3;3;
"auschwitz";1;2;
"auth";10;40;
"backpack";1;1;
"bahnhofplatz";10;10;
"bank";3;3;
"bapist";1;1;
"bar";1;1;"0.06682691780147322"
"baroqu";2;2;
"barrack";1;1;
"base";1;1;
"bear";2;2;
"beat";10;20;
"beauti";1;1;
"berlin";1;1;
"bewild";1;1;
"bisect";1;1;
"bizarr";1;1;
"block";3;6;
"boat";1;1;
"bodi";1;1;
"bohemian";1;1;
"book";10;59;
"boom";1;1;
"bread";1;1;
"breakfast";1;1;
"breweri";1;1;
"brick";1;1;
"bridg";1;1;
"brood";1;1;
"browser";10;20;
"bruge";1;1;
"bu";2;2;
"budget";10;21;
"buri";1;1;
"buse";1;1;
"busi";2;2;
"buzz";1;1;
"c";10;20;
"cabl";1;1;
"camp";1;2;
"capit";1;3;
"car";1;1;
"cargo";1;1;
"caribbean";10;60;
"carv";1;1;
"cast";1;1;
"catch";1;1;
"cathedr";2;3;
"caus";1;1;
"cavalcad";1;1;
"centr";4;5;
"centralna";1;1;
"centuri";4;5;"0.02878078694539205"
"chamber";1;1;
"chandeli";1;1;
"check";10;20;
"checkconnect";10;20;
"church";2;3;
"citi";4;9;
"citizen";1;1;
"climb";1;1;
"cmm";1;1;
"collaps";1;1;
"com";1;1;
"comfort";10;10;
"commun";2;2;
"communist";2;2;
"compel";1;1;
"competit";10;10;
"comprehens";2;2;
"compulsori";1;1;
"condit";10;11;
"confisc";1;1;
"conquer";1;1;
"consent";10;10;
"contemporari";3;3;
"control";1;1;
"cooki";10;40;
"copyright";10;10;
"corner";1;1;
"countri";1;1;
"countrysid";1;1;
"crane";1;1;
"cross";1;1;
"crowd";9;10;
"crucibl";1;1;
"crypt";1;1;
"cultur";2;3;
"curiou";1;1;
"czartoryski";1;1;
"czech";1;1;
"dai";1;1;
"daili";4;4;
"data";10;10;
"datr";10;20;
"dec";1;1;
"depart";1;1;
"deport";1;1;
"depth";10;10;
"deselect";10;10;
"destruct";1;1;
"detail";1;1;
"dictionari";1;1;
"digit";10;20;
"discount";10;10;
"displai";10;11;
"district";2;2;
"divers";1;1;
"dock";1;1;
"domin";1;1;
"doubl";1;1;
"dozen";1;1;
"dream";10;10;
"drive";1;1;
"dusk";1;1;
"dynam";2;2;
"d?ugi";1;1;
"earth";1;1;
"edific";1;1;
"elsewher";1;1;
"enabl";10;10;
"encompass";1;1;
"end";1;1;
"engag";10;10;
"enorm";1;1;
"entranc";1;1;
"era";1;1;
"escap";9;9;
"estim";1;1;
"europ";10;37;
"exhaust";10;10;
"exhibit";1;2;
"expans";1;1;
"experi";10;11;
"experienc";10;10;
"expert";10;30;
"explor";10;12;
"ext";10;20;
"extern";10;20;
"extinguish";1;1;
"facad";2;2;
"fact";1;1;
"famou";1;1;
"fb";10;40;
"featur";9;18;
"feel";1;1;
"file";1;1;
"fill";10;10;
"fine";1;1;
"finish";1;1;
"floor";1;1;
"food";10;10;
"forest";2;2;
"form";1;1;
"fr";10;20;
"frame";1;1;
"franc";2;2;
"french";1;1;
"fri";1;2;
"friendli";1;1;
"friez";1;1;
"function";10;20;
"ga";1;1;
"gad";10;20;
"galleri";9;9;
"galx";10;20;
"gap";10;20;
"gate";10;23;
"gatewai";1;1;
"gda?sk";1;1;
"gener";1;1;
"genuin";1;1;
"german";2;2;
"ghent";1;1;
"gleam";1;1;
"gorgeou";1;1;
"grei";1;1;
"gretel";1;1;
"group";10;11;
"guest";10;20;
"guid";10;126;
"g?ówne";1;1;
"hail";1;1;
"halfwai";1;1;
"hall";2;3;
"hamlet";1;1;
"hansel";1;1;
"headquart";10;10;
"heart";4;4;
"help";10;30;
