"word";"in documents";"total";"att_1"
"abl";2;3;
"abraço";1;1;
"academ";1;3;
"access";10;31;
"acclaim";1;1;
"accommod";4;9;
"accompani";1;1;
"accord";2;2;
"acorn";1;1;
"acquir";2;2;
"acr";1;1;
"act";2;2;
"action";1;1;
"activ";5;8;
"ad";10;13;
"addit";2;3;
"adega";1;1;
"adjac";4;4;
"admir";2;2;
"admittedli";1;1;
"adorn";1;1;
"adrão";1;1;
"adulter";1;1;
"advanc";1;2;
"adventur";10;13;
"advertis";10;11;
"advic";10;10;
"affair";1;1;
"affection";1;1;
"aficionado";1;1;
"africa";1;1;
"afternoon";3;6;
"ag";10;30;
"agenc";1;1;
"agonía";1;1;
"agre";10;32;
"agreeabl";2;2;"0.0956077047468653"
"agricultur";3;5;
"agricultura";2;2;
"aid";1;1;
"aigra";1;1;
"aim";2;2;
"air";7;7;
"airbas";1;1;
"aircraft";1;1;
"airlin";1;1;
"airport";2;4;
"al";1;1;
"alarm";1;1;
"albergaria";1;1;
"albufeira";2;16;
"alcino";1;1;
"alcoforado";1;1;
"alcohol";1;1;
"alcoutim";1;8;
"alcácer";1;2;
"aleixo";1;1;
"alentejan";1;6;
"alentejo";3;31;
"alfama";1;9;
"alfândega";1;1;
"algar";1;1;
"algarv";10;46;
"algarviana";1;2;
"alj";1;1;
"aljezur";1;9;
"alleg";1;1;
"allegedli";1;1;
"alpin";1;1;
"alquera";1;1;
"alqueva";1;5;
"alta";6;10;
"altern";10;18;
"alto";2;4;
"alva";1;4;
"alvor";1;13;
"além";1;1;
"amadeo";1;1;
"amado";1;1;
"amarant";1;8;
"amaz";1;1;
"amazingli";1;1;
"ambiti";1;1;
"ambul";1;1;
"amen";1;1;
"america";10;60;
"amount";2;2;
"améli";1;1;
"anchor";1;2;
"angl";2;2;
"anim";3;5;
"answer";1;1;
"anta";1;1;
"anticlimax";1;1;
"antónio";3;6;
"apa";10;30;
"aperitif";1;1;
"appar";1;2;
"appeal";5;12;
"appetit";1;1;
"appli";2;2;
"appreci";1;1;
"approach";5;11;
"appropri";2;2;
"april";2;4;
"aqueduct";2;2;
"arab";3;7;
"arad";1;5;
"arada";1;2;
"aragonez";1;1;
"arch";3;3;
"archaeolog";1;1;
"archaic";1;1;
"archeolog";3;5;
"archeologist";2;2;
"architect";3;6;
