"word";"in documents";"total";"att_1"
"absurdli";1;1;
"access";10;12;
"account";1;1;
"activ";1;1;
"ad";10;11;
"addit";1;1;
"administ";1;1;
"administr";1;1;
"advertis";10;10;
"advic";10;10;
"advis";1;1;
"africa";1;2;
"ag";10;20;
"aggrav";1;1;
"agon";1;1;
"agre";10;30;
"agreeabl";1;1;"0.0956077047468653"
"agricultur";1;1;
"air";1;1;
"alexandru";1;1;
"aliv";2;2;
"alpin";1;1;
"amaz";1;1;
"america";10;60;
"ant";1;1;
"anti";1;2;
"apa";10;30;
"april";1;1;
"apuseni";1;4;
"architect";1;1;
"arctic";1;1;
"area";10;14;
"aref";1;1;
"arefu";1;3;
"arge?";1;1;
"arie?";1;2;
"armi";1;1;
"arsonist";1;1;
"art";1;1;
"articl";10;10;
"artist";1;1;
"art?";1;2;
"ascend";1;1;
"associ";1;1;
"attack";1;1;
"attempt";1;1;
"attic";1;1;
"auth";10;40;
"author";1;1;
"autumn";1;1;
"avail";1;1;
"averag";1;1;
"avocet";1;1;
"axi";1;1;
"bahnhofplatz";10;10;
"balkan";1;1;
"bar";2;2;"0.06682691780147322"
"baroqu";2;2;
"base";2;2;
"basement";1;1;
"beach";1;1;
"beat";10;20;
"beelin";1;1;
"beetl";1;1;
"behalf";1;1;
"bench";1;1;
"bihor";1;1;
"bin";1;1;
"bird";1;1;
"birthplac";1;1;
"bit";1;1;
"boar";1;1;
"book";10;30;
"border";2;2;
"boyar";1;2;
"brad";1;1;
"bran";1;1;
"brand";1;1;
"brasov";1;1;
"brassó";1;1;
"bra?ov";1;2;
"breathtak";1;1;
"breed";1;3;
"brief";2;3;
"brightli";1;1;
"browser";10;20;
"br?tianu";1;1;"0.0956077047468653"
"bucharest";10;15;
"bucovina";1;1;
"budget";10;10;
"bulevardul";3;3;
"bulgarian";1;1;
"bulldoz";1;1;"0.0956077047468653"
"bunker";1;1;
"bunt";1;1;
"burial";1;1;
"burn";1;1;
"buzz";2;2;
"c";10;21;
"café";2;3;"0.06682691780147322"
"calea";1;1;
"call";1;1;
"canal";2;2;
"cantemir";1;1;
"capit";3;3;
"car";3;3;
"caribbean";10;60;
"carol";1;2;
"carp";1;1;
"carpathian";1;1;
"casa";1;3;
"castl";2;5;
"catalogu";1;1;
"cathedr";1;1;
"ceau?escu";4;6;"0.03804613085608118"
"ceiling";1;1;
"cel";1;1;
"cement";1;1;
"centr";1;3;
"centru";1;1;
"centuri";5;6;"0.02878078694539205"
"certainli";1;1;
"cetatea";1;3;
"chamber";1;1;
"chandeli";1;1;
"chang";1;1;
"characterist";1;1;
"chauvinist";1;1;
"check";10;20;
"checkconnect";10;20;
"chief";2;2;
"china";1;1;
"christian";1;1;
"church";3;6;
"circl";1;2;
"citadel";1;1;
"citi";5;17;
"claim";1;1;
"class";1;1;
"clinch";1;1;
"cluj";2;8;
"clutch";1;1;
"coast";2;6;
"coastal";1;1;
"cocktail";1;1;
"code";1;1;
"coil";1;1;
"coincid";1;1;
"collag";1;1;
"collaps";1;1;
"coloni";1;1;
"coloss";1;1;
"colour";1;1;
"comaneci";1;1;
"commonli";1;1;"0.0956077047468653"
"commun";2;3;
"communist";2;2;
"compar";1;1;
"comparison";1;1;
"compet";1;1;
"competit";10;10;
"compulsori";1;1;
"concret";1;1;"0.0956077047468653"
"condit";10;11;
"confer";1;1;
"conscript";1;1;
"consent";10;10;
"consid";1;1;
"constantinopl";1;1;
"constan?a";1;2;
"contemporan?";1;2;
"contemporari";1;1;
"control";1;1;
"cooki";10;40;
"copyright";10;10;
"cottag";1;1;
"counti";1;1;
"countri";1;1;
"coup";1;1;
"coupl";1;1;
"court";1;1;
"cover";1;1;
"craiului";4;4;
"cram";1;1;
"creat";1;1;
"cri?ul";1;1;
"crowd";1;1;
"crude";1;1;
"culmin";1;1;
"cultur";2;3;
"cum";1;1;
"curtea";1;1;
"cuza";2;3;
"cycl";1;1;
"câmpeni";1;2;
"d";1;1;
"dacian";1;1;
"dai";3;4;
"danub";2;4;
"danubepark";1;1;
"data";10;10;
"date";1;1;
"datr";10;20;
"dazzl";2;2;
"deadlier";1;1;
"death";1;1;
"decemb";1;1;
"decid";1;1;
"declar";1;1;
"declin";2;2;
"decor";1;2;
"decrepit";1;1;"0.0956077047468653"
"defenc";1;1;
"defin";1;1;
"delta";2;12;
"demand";1;1;
"demolish";1;1;
"demolit";1;1;
"depos";1;1;
"depth";10;10;
"deselect";10;10;
"design";1;1;
"desper";1;1;"0.0956077047468653"
"despot";1;1;
"detain";1;1;
"deva";1;1;
"devast";1;1;
"digit";10;20;
"diplomat";1;1;
"discount";10;10;
"discreet";1;1;
"displai";10;12;
"distanc";1;1;
"district";1;3;
"dn";1;2;
"dobrogea";2;2;
"domin";4;4;
"dot";1;1;
"dracula";2;3;
"draft";1;1;
"drain";1;1;
"dramat";1;1;
"dress";1;1;
"driver";1;1;
"duck";1;1;
"eagl";1;2;
"earthli";1;1;
"easili";1;1;
"econom";1;2;
"edific";1;1;
"egret";1;1;
"eleph";1;1;
"elev";1;1;
"elit";1;1;
"emancip";1;1;
"eminescu";1;1;
"empir";1;1;
"enabl";10;11;
"end";1;2;
"endow";1;1;
"enescu";2;2;
"engag";10;10;
"enhanc";1;1;
"enlarg";1;1;
"enrag";1;1;
"entir";1;1;
"environment";1;1;
"epitom";1;1;
"escap";1;1;
"especi";1;1;
"esteem";1;1;
"etern";1;1;
"ethnograph";1;1;
"europ";10;21;
"european";1;1;
"evacu";1;1;
"eventu";1;1;
"excel";3;3;
"expens";1;1;
"experi";10;10;
"expert";10;10;
"explor";10;10;
"ext";10;20;
