"word";"in documents";"total";"att_1"
"access";10;11;
"acclaim";1;1;
"ad";10;10;
"addit";1;1;
"advertis";10;10;
"advic";10;10;
"aerial";10;10;
"ag";10;20;
"agre";10;30;
"alp";3;3;
"alpin";1;1;
"alpina";10;10;
"america";10;60;
"apa";10;30;
"approach";1;1;
"april";1;1;
"architectur";2;2;
"area";10;11;
"armi";1;1;
"art";1;1;
"articl";10;10;
"attitud";1;1;
"auth";10;40;
"backpack";1;1;
"bahnhofplatz";10;10;
"balmi";1;1;
"bank";2;4;
"bar";1;1;"0.06682691780147322"
"base";1;1;
"basel";2;3;
"beam";1;1;
"beat";10;20;
"beauti";10;13;
"bellinzona";1;1;
"bern";1;1;
"bill";1;1;
"bluff";1;1;
"boast";1;1;
"boat";2;2;
"bond";1;1;
"book";10;30;
"bottom";1;1;
"bourbaki";1;1;
"branch";1;1;
"breadth";1;1;
"breathtak";2;2;
"bridg";2;2;
"browser";10;20;
"bu";3;3;
"budget";7;7;
"bunge";1;1;
"buse";1;1;
"busi";2;2;
"bâle";1;1;
"c";10;20;
"cabl";4;6;
"café";1;1;"0.06682691780147322"
"capit";1;1;
"captiv";1;1;
"car";4;7;
"caribbean";10;60;
"carv";1;1;
"castl";3;4;
"catch";1;1;
"celebr";1;1;
"centenari";1;1;
"centr";1;1;
"centuri";2;4;"0.02878078694539205"
"certainli";1;1;
"ch";2;2;
"chairlift";1;1;
"chang";1;1;
"channel";1;1;
"charm";1;1;
"check";10;20;
"checkconnect";10;20;
"chill";1;1;
"chillon";1;1;
"chocol";1;1;
"church";2;3;
"citi";3;6;
"class";2;2;
"cleft";1;1;
"cliff";1;1;
"climb";3;4;
"climber";1;1;
"cloud";1;1;
"cobbl";1;1;
"coil";1;1;
"col";1;1;
"com";1;1;
"commemor";1;1;
"commerci";1;1;
"competit";10;10;
"comprehens";2;2;
"compris";1;1;
"concert";1;1;
"condit";10;10;
"consent";10;10;
"contemporari";1;1;
"continu";1;1;
"contort";1;1;
"control";1;1;
"cooki";10;40;
"copyright";10;10;
"corkscrew";1;1;
"countri";10;11;
"countrysid";1;1;
"cover";1;1;
"crag";1;1;
"cream";1;1;
"crest";1;1;
"cross";1;1;
"cruis";1;1;
"cultur";2;2;
"curv";1;1;
"dai";4;6;
"daredevil";1;1;
"data";10;10;
"datr";10;20;
"dawn";1;1;
"depth";10;10;
"deselect";10;10;
"digit";10;20;
"diplomat";1;1;
"discount";10;11;
"displai";10;11;
"district";1;2;
"dome";1;1;
"domin";1;1;
"drama";1;1;
"drench";1;1;
"drive";1;1;
"drop";1;1;
"dy";1;1;
"electr";1;1;
"elysé";1;1;
"enabl";10;10;
"end";2;3;
"energet";1;1;
"engag";10;10;
"entranc";1;1;
"europ";7;12;
"european";1;1;
"excel";2;2;
"excurs";1;1;
"experi";10;10;
"expert";10;10;
"explor";10;10;
"exquisit";1;1;
"ext";10;20;
"extern";10;20;
"extrem";1;1;
"face";2;2;
"facsimil";1;1;
"fact";1;1;
"fall";1;4;
"famou";4;5;
"fasnacht";1;1;
"fb";10;40;
"featur";10;20;
"februari";1;1;
"feel";1;1;
"fenlioq";1;1;
"ferri";1;1;
"fill";10;10;
"film";1;2;
"fire";1;1;
"firework";1;1;
"fish";1;1;
"flank";2;2;
"flight";1;1;
"flora";1;1;
"flow";1;1;
"food";1;1;
"foothil";1;1;
"forest";2;2;
"fountain";1;1;
"fr";10;20;
"fragrant";1;1;
"franc";2;2;
"franco";1;1;
"françoi";1;2;
"freethink";1;1;
"french";4;5;
"fun";1;1;
"function";10;20;
"fur";1;1;
"für";1;1;
"gad";10;20;
"gain";1;1;
"galleri";10;11;
"galx";10;20;
"gap";10;20;
"gate";10;20;
"gegenwartskunst";1;1;
"gener";1;1;
"geneva";10;15;
"gentli";1;1;
"german";1;1;
"germani";2;2;
"ggb";1;1;
"giant";1;1;
"gimmelwald";1;1;
"glacier";2;2;
"gleam";1;1;
"gornergrat";1;1;
"gra";1;1;
"grandeur";1;1;
