"station_uuid";"average(e5_cleaned)";"average(diesel_cleaned)";"average(e10_cleaned)";"Date New";"Price_ural";"Price_brent";"Price_wti";"Label e10";"Label e5";"Label Diesel";"weekday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3908749999999999;1.2439999999999998;1.3708749999999998;1/1/18 12:00 AM;67.20772727272727;68.82355877616747;62.48146031746032;"1";"1";"1";"Monday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3624782608695651;1.2385652173913047;1.3424782608695651;1/2/18 12:00 AM;67.20673611111113;66.65;60.37;"0";"0";"0";"Tuesday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.360578947368421;1.2384736842105262;1.340578947368421;1/3/18 12:00 AM;67.20559701492537;67.85;61.61;"0";"0";"0";"Wednesday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3644545454545454;1.244909090909091;1.3444545454545458;1/4/18 12:00 AM;67.20427419354839;68.73;61.98;"1";"1";"1";"Thursday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.355086956521739;1.2459565217391304;1.335086956521739;1/5/18 12:00 AM;67.20271929824561;68.01;61.49;"0";"0";"1";"Friday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3753157894736843;1.2463684210526318;1.3553157894736843;1/6/18 12:00 AM;67.20086538461538;68.84811965811966;62.50291666666667;"1";"1";"1";"Saturday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.379;1.247125;1.3590000000000002;1/7/18 12:00 AM;67.19861702127659;68.87180180180181;62.5280701754386;"1";"1";"1";"Sunday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3631666666666666;1.25275;1.343166666666667;1/8/18 12:00 AM;67.19583333333333;68.48;61.73;"0";"0";"1";"Monday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3685000000000003;1.2645;1.3485000000000003;1/9/18 12:00 AM;66.05;69.08;62.92;"1";"1";"1";"Tuesday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3562;1.239;1.3361999999999998;1/10/18 12:00 AM;67.57;69.79;63.6;"0";"0";"0";"Wednesday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3553636363636363;1.2530909090909093;1.3353636363636365;1/11/18 12:00 AM;67.16;70.36;63.81;"0";"0";"1";"Thursday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.371727272727273;1.2526363636363638;1.3517272727272724;1/12/18 12:00 AM;66.69;69.64;64.22;"1";"1";"0";"Friday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3695555555555554;1.2401111111111112;1.3495555555555552;1/13/18 12:00 AM;67.19899176954732;69.45193650793651;63.31907859078591;"0";"0";"0";"Saturday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3615;1.241;1.3415000000000001;1/14/18 12:00 AM;67.20416666666667;69.45063492063491;63.518968253968254;"0";"0";"1";"Sunday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3395555555555554;1.2228888888888891;1.3195555555555551;1/15/18 12:00 AM;67.20975555555556;70.31;63.52547619047619;"0";"0";"0";"Monday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3384117647058826;1.2219411764705885;1.3184117647058824;1/16/18 12:00 AM;67.52;69.4;63.82;"0";"0";"0";"Tuesday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3372352941176473;1.204294117647059;1.317235294117647;1/17/18 12:00 AM;67.52;69.19;63.92;"0";"0";"0";"Wednesday"
"6903db69-dd2c-4a8c-b657-caec419c7a32";1.3506666666666662;1.2106666666666668;1.3306666666666667;1/18/18 12:00 AM;67.43126984126984;69.48;63.96;"1";"1";"1";"Thursday"
